stress_level,method,mean_success,mean_seam_failure_rate,mean_barrier_violation_rate,mean_basin_alignment,mean_descent_continuity,mean_damage_rate,mean_composition_cost,mean_energy_model_error,mean_risk_calibration_error,mean_abstention_rate,mean_predicted_seam_risk,mean_realized_seam_breach,mean_composition_utility,ci95_success,ci95_seam_failure_rate,ci95_barrier_violation_rate,ci95_basin_alignment,ci95_descent_continuity,ci95_damage_rate,ci95_composition_cost,ci95_energy_model_error,ci95_risk_calibration_error,ci95_abstention_rate,ci95_predicted_seam_risk,ci95_realized_seam_breach,ci95_composition_utility,rows
0.000000,barrier_certified_energy_composer_v5,0.785417,0.069076,0.085377,0.757600,0.736532,0.071376,0.190738,0.111213,0.051494,0.105503,0.102740,0.095381,0.869394,0.009325,0.000167,0.000146,0.000352,0.000421,0.000068,0.000169,0.000088,0.000080,0.000121,0.000245,0.000209,0.009376,10
0.000000,energy_compatibility_heuristic,0.598438,0.193654,0.190748,0.517070,0.498413,0.083820,0.308234,0.153655,0.074619,0.091514,0.310407,0.285150,0.277169,0.012613,0.000205,0.000142,0.000286,0.000414,0.000105,0.000100,0.000143,0.000080,0.000126,0.000269,0.000260,0.012616,10
0.000000,option_graph_planner,0.402604,0.277417,0.262601,0.373004,0.356696,0.088607,0.162436,0.179505,0.083909,0.086998,0.443373,0.408133,-0.115826,0.011817,0.000233,0.000197,0.000133,0.000177,0.000083,0.000209,0.000099,0.000085,0.000079,0.000338,0.000263,0.011593,10
0.000000,oracle_basin_composer,0.897917,0.032426,0.052867,0.865136,0.839616,0.067918,0.152025,0.093125,0.045159,0.109775,0.042468,0.040151,1.125926,0.009649,0.000172,0.000145,0.000337,0.000311,0.000075,0.000145,0.000173,0.000127,0.000088,0.000210,0.000216,0.009666,10
0.000000,proposed_energy_landscape_composer_v4_1,0.709115,0.118382,0.126436,0.677588,0.657873,0.077057,0.237230,0.125599,0.062151,0.099038,0.186384,0.171388,0.641940,0.011690,0.000122,0.000132,0.000322,0.000227,0.000138,0.000079,0.000112,0.000114,0.000157,0.000214,0.000185,0.011628,10
0.000000,tamp_feasibility_screen,0.612240,0.173422,0.172020,0.535164,0.508385,0.080954,0.337338,0.149772,0.069557,0.095646,0.274192,0.252367,0.330999,0.016573,0.000125,0.000127,0.000328,0.000183,0.000074,0.000095,0.000180,0.000147,0.000112,0.000177,0.000184,0.016635,10
0.166667,barrier_certified_energy_composer_v5,0.790365,0.070971,0.086899,0.755814,0.734515,0.072781,0.191269,0.114287,0.052202,0.106732,0.105669,0.098158,0.866755,0.015127,0.000080,0.000118,0.000336,0.000436,0.000087,0.000099,0.000089,0.000127,0.000136,0.000188,0.000117,0.015146,10
0.166667,energy_compatibility_heuristic,0.591146,0.196048,0.192726,0.514760,0.496077,0.085197,0.308711,0.156841,0.075388,0.092552,0.314037,0.288488,0.261232,0.018118,0.000135,0.000193,0.000395,0.000290,0.000075,0.000121,0.000162,0.000090,0.000088,0.000237,0.000195,0.018198,10
0.166667,option_graph_planner,0.401562,0.280440,0.265254,0.370171,0.354046,0.090014,0.162850,0.182843,0.084540,0.088278,0.448134,0.412411,-0.126910,0.013860,0.000251,0.000143,0.000242,0.000455,0.000077,0.000174,0.000099,0.000138,0.000143,0.000296,0.000372,0.013851,10
0.166667,oracle_basin_composer,0.899740,0.033851,0.054282,0.863571,0.838180,0.069359,0.152360,0.096096,0.045728,0.110963,0.044072,0.041781,1.121028,0.008750,0.000119,0.000176,0.000225,0.000257,0.000101,0.000128,0.000098,0.000070,0.000094,0.000143,0.000228,0.008756,10
0.166667,proposed_energy_landscape_composer_v4_1,0.692187,0.120606,0.127924,0.675715,0.656306,0.078432,0.237644,0.128761,0.062711,0.100233,0.189490,0.174321,0.617373,0.014750,0.000105,0.000175,0.000383,0.000257,0.000099,0.000087,0.000126,0.000069,0.000159,0.000237,0.000243,0.014635,10
0.166667,tamp_feasibility_screen,0.620052,0.175712,0.173947,0.532601,0.506509,0.082261,0.338038,0.152924,0.070167,0.096811,0.277714,0.255759,0.330439,0.016327,0.000160,0.000146,0.000496,0.000233,0.000099,0.000131,0.000171,0.000106,0.000139,0.000162,0.000191,0.016347,10
0.333333,barrier_certified_energy_composer_v5,0.781250,0.073313,0.089399,0.754048,0.732527,0.074778,0.191762,0.117442,0.053111,0.108313,0.109682,0.101837,0.848093,0.007015,0.000175,0.000114,0.000234,0.000142,0.000098,0.000122,0.000101,0.000071,0.000098,0.000254,0.000255,0.007105,10
0.333333,energy_compatibility_heuristic,0.597656,0.199161,0.196176,0.511883,0.492625,0.087391,0.309761,0.160277,0.076278,0.094201,0.319406,0.293423,0.255531,0.012806,0.000165,0.000104,0.000275,0.000300,0.000060,0.000085,0.000197,0.000104,0.000108,0.000160,0.000148,0.012889,10
0.333333,option_graph_planner,0.384115,0.284220,0.268994,0.367004,0.349863,0.092078,0.163419,0.186272,0.085387,0.089878,0.454171,0.418007,-0.157383,0.011695,0.000226,0.000153,0.000308,0.000335,0.000110,0.000137,0.000122,0.000083,0.000099,0.000204,0.000228,0.011783,10
0.333333,oracle_basin_composer,0.913542,0.035961,0.056393,0.862168,0.836608,0.071419,0.152610,0.099234,0.046644,0.112515,0.047364,0.044796,1.126037,0.007210,0.000111,0.000143,0.000282,0.000320,0.000114,0.000160,0.000146,0.000095,0.000133,0.000178,0.000186,0.007318,10
0.333333,proposed_energy_landscape_composer_v4_1,0.707031,0.123047,0.130977,0.673124,0.653592,0.080554,0.238433,0.132157,0.063620,0.101831,0.193843,0.178298,0.621359,0.013118,0.000171,0.000168,0.000245,0.000348,0.000076,0.000172,0.000120,0.000072,0.000117,0.000242,0.000237,0.013084,10
0.333333,tamp_feasibility_screen,0.597396,0.178857,0.176984,0.529964,0.503170,0.084366,0.339160,0.156274,0.071011,0.098412,0.282779,0.260303,0.296130,0.016482,0.000191,0.000166,0.000359,0.000335,0.000063,0.000100,0.000065,0.000080,0.000124,0.000190,0.000195,0.016524,10
0.500000,barrier_certified_energy_composer_v5,0.779948,0.077716,0.092907,0.751642,0.730044,0.077909,0.192552,0.120776,0.054567,0.110959,0.116516,0.107989,0.832541,0.017422,0.000198,0.000151,0.000356,0.000288,0.000098,0.000130,0.000107,0.000097,0.000167,0.000293,0.000324,0.017543,10
0.500000,energy_compatibility_heuristic,0.570052,0.204996,0.201210,0.506716,0.488321,0.090401,0.311563,0.164092,0.077723,0.096755,0.328449,0.301702,0.209505,0.015859,0.000153,0.000106,0.000275,0.000381,0.000087,0.000120,0.000136,0.000080,0.000154,0.000323,0.000159,0.015916,10
0.500000,option_graph_planner,0.377865,0.291111,0.275257,0.360083,0.344688,0.095117,0.164400,0.190399,0.086847,0.092487,0.465200,0.428059,-0.184725,0.012113,0.000147,0.000153,0.000225,0.000345,0.000143,0.000096,0.000156,0.000147,0.000127,0.000162,0.000173,0.011953,10
0.500000,oracle_basin_composer,0.907552,0.040036,0.059517,0.860708,0.834698,0.074454,0.153203,0.102378,0.048112,0.115056,0.053588,0.050538,1.107088,0.008617,0.000089,0.000093,0.000338,0.000414,0.000104,0.000123,0.000179,0.000099,0.000145,0.000177,0.000154,0.008764,10
0.500000,proposed_energy_landscape_composer_v4_1,0.688021,0.128142,0.135059,0.669528,0.650138,0.083693,0.239559,0.135630,0.065072,0.104471,0.201741,0.185614,0.586244,0.016667,0.000185,0.000142,0.000235,0.000440,0.000079,0.000188,0.000158,0.000116,0.000125,0.000278,0.000185,0.016651,10
0.500000,tamp_feasibility_screen,0.585677,0.184495,0.181898,0.525150,0.499076,0.087464,0.340896,0.160155,0.072537,0.100912,0.291577,0.268404,0.266286,0.011500,0.000204,0.000082,0.000258,0.000234,0.000098,0.000112,0.000165,0.000092,0.000131,0.000210,0.000248,0.011489,10
0.666667,barrier_certified_energy_composer_v5,0.771094,0.086387,0.099653,0.747989,0.725952,0.083262,0.194430,0.124467,0.057028,0.115699,0.129627,0.120181,0.798710,0.012536,0.000196,0.000146,0.000178,0.000173,0.000087,0.000141,0.000091,0.000068,0.000085,0.000261,0.000231,0.012438,10
0.666667,energy_compatibility_heuristic,0.560677,0.215953,0.210334,0.497297,0.481045,0.095707,0.314692,0.168654,0.080076,0.101571,0.345219,0.317297,0.167963,0.013419,0.000155,0.000088,0.000351,0.000313,0.000091,0.000096,0.000120,0.000157,0.000105,0.000224,0.000258,0.013541,10
0.666667,option_graph_planner,0.339844,0.303704,0.285983,0.348198,0.334855,0.100474,0.166291,0.195665,0.089351,0.097156,0.484390,0.445796,-0.259208,0.012601,0.000162,0.000113,0.000286,0.000245,0.000091,0.000070,0.000165,0.000082,0.000152,0.000263,0.000225,0.012581,10
0.666667,oracle_basin_composer,0.904427,0.047805,0.065576,0.860021,0.832620,0.079931,0.154350,0.105522,0.050541,0.119713,0.065355,0.061340,1.082139,0.006323,0.000148,0.000156,0.000454,0.000246,0.000058,0.000127,0.000143,0.000091,0.000093,0.000245,0.000275,0.006362,10
0.666667,proposed_energy_landscape_composer_v4_1,0.678646,0.137580,0.142700,0.663028,0.644612,0.088947,0.241961,0.139852,0.067554,0.109045,0.216005,0.198882,0.548970,0.008167,0.000181,0.000210,0.000358,0.000319,0.000090,0.000129,0.000159,0.000066,0.000172,0.000253,0.000330,0.008310,10
0.666667,tamp_feasibility_screen,0.576823,0.194835,0.190523,0.516481,0.492085,0.092791,0.344745,0.164798,0.075021,0.105912,0.307508,0.283229,0.226160,0.008204,0.000159,0.000161,0.000416,0.000347,0.000076,0.000109,0.000126,0.000072,0.000101,0.000253,0.000157,0.008156,10
0.833333,barrier_certified_energy_composer_v5,0.781250,0.089733,0.107489,0.746648,0.721614,0.088876,0.195660,0.127911,0.058798,0.119212,0.137786,0.127410,0.788806,0.011311,0.000181,0.000195,0.000218,0.000376,0.000104,0.000132,0.000223,0.000089,0.000095,0.000272,0.000305,0.011393,10
0.833333,energy_compatibility_heuristic,0.546615,0.221272,0.220163,0.494527,0.471719,0.101186,0.317032,0.172596,0.082041,0.105009,0.356542,0.327200,0.128202,0.018660,0.000068,0.000216,0.000318,0.000111,0.000102,0.000108,0.000194,0.000080,0.000129,0.000193,0.000228,0.018696,10
0.833333,option_graph_planner,0.316927,0.310502,0.296945,0.343632,0.322437,0.106050,0.167775,0.199863,0.091240,0.100636,0.497742,0.458114,-0.311393,0.024562,0.000184,0.000128,0.000367,0.000252,0.000129,0.000113,0.000082,0.000098,0.000103,0.000231,0.000233,0.024512,10
0.833333,oracle_basin_composer,0.903125,0.050906,0.073103,0.859080,0.829792,0.085482,0.155217,0.109040,0.052328,0.123228,0.073144,0.068095,1.061898,0.008568,0.000117,0.000141,0.000374,0.000272,0.000081,0.000147,0.000138,0.000111,0.000114,0.000192,0.000153,0.008616,10
0.833333,proposed_energy_landscape_composer_v4_1,0.672135,0.141739,0.151379,0.661179,0.637704,0.094537,0.243756,0.143438,0.069387,0.112552,0.225552,0.207274,0.519915,0.013320,0.000175,0.000237,0.000346,0.000218,0.000133,0.000114,0.000098,0.000116,0.000175,0.000278,0.000270,0.013204,10
0.833333,tamp_feasibility_screen,0.591667,0.199727,0.199983,0.513289,0.482811,0.098452,0.347365,0.168457,0.076927,0.109287,0.318190,0.292627,0.215789,0.009915,0.000084,0.000166,0.000302,0.000324,0.000053,0.000166,0.000126,0.000061,0.000107,0.000202,0.000166,0.009871,10
1.000000,barrier_certified_energy_composer_v5,0.765104,0.091060,0.111901,0.745793,0.718158,0.091768,0.196362,0.131102,0.059937,0.120798,0.141829,0.130819,0.761194,0.022697,0.000162,0.000161,0.000396,0.000310,0.000103,0.000094,0.000083,0.000081,0.000149,0.000177,0.000223,0.022650,10
1.000000,energy_compatibility_heuristic,0.537240,0.223398,0.225291,0.493274,0.465869,0.104393,0.318188,0.175708,0.082984,0.106807,0.361580,0.331997,0.104965,0.018357,0.000121,0.000177,0.000226,0.000180,0.000085,0.000103,0.000105,0.000122,0.000103,0.000216,0.000167,0.018461,10
1.000000,option_graph_planner,0.315625,0.313086,0.303109,0.342118,0.315249,0.109201,0.168313,0.203111,0.092194,0.102454,0.503946,0.463468,-0.328112,0.006924,0.000226,0.000148,0.000371,0.000272,0.000088,0.000085,0.000132,0.000064,0.000139,0.000266,0.000258,0.006892,10
1.000000,oracle_basin_composer,0.909896,0.051940,0.077160,0.858412,0.827991,0.088634,0.155635,0.112102,0.053382,0.125043,0.076775,0.071272,1.058142,0.009418,0.000173,0.000129,0.000303,0.000342,0.000089,0.000124,0.000150,0.000078,0.000142,0.000194,0.000227,0.009549,10
1.000000,proposed_energy_landscape_composer_v4_1,0.661979,0.143480,0.156094,0.659963,0.633255,0.097643,0.244638,0.146437,0.070399,0.114415,0.230289,0.211265,0.497149,0.015118,0.000157,0.000171,0.000381,0.000331,0.000067,0.000147,0.000121,0.000093,0.000135,0.000291,0.000197,0.015084,10
1.000000,tamp_feasibility_screen,0.577865,0.201839,0.205034,0.512160,0.477445,0.101476,0.348585,0.171733,0.077804,0.111066,0.323244,0.297178,0.188497,0.022019,0.000097,0.000168,0.000262,0.000303,0.000110,0.000145,0.000142,0.000125,0.000145,0.000118,0.000155,0.022012,10
