method,split,seed,mean_success_rate,mean_seam_failure_rate,mean_barrier_violation_rate,mean_basin_alignment,mean_descent_continuity,mean_damage_rate,mean_composition_cost,mean_energy_model_error,ci95_success_rate,ci95_seam_failure_rate,ci95_barrier_violation_rate,ci95_basin_alignment,ci95_descent_continuity,ci95_damage_rate,ci95_composition_cost,ci95_energy_model_error,groups
behavior_cloned_skill_chain,combined_stress,0,0.404514,0.368051,0.338245,0.273931,0.258573,0.123652,0.110149,0.174802,0.024432,0.006207,0.006306,0.006342,0.006936,0.002704,0.001545,0.002033,48
behavior_cloned_skill_chain,combined_stress,1,0.399884,0.366440,0.338083,0.278496,0.260936,0.123204,0.109892,0.173403,0.020616,0.006689,0.005797,0.006178,0.006687,0.002670,0.001575,0.001643,48
behavior_cloned_skill_chain,combined_stress,2,0.393808,0.366059,0.339069,0.274424,0.258251,0.122535,0.110329,0.174479,0.018187,0.006762,0.006407,0.005908,0.006835,0.002586,0.001381,0.001740,48
behavior_cloned_skill_chain,combined_stress,3,0.376736,0.366217,0.337854,0.274655,0.259194,0.121887,0.110070,0.174232,0.021849,0.006907,0.006583,0.006627,0.006008,0.002650,0.001624,0.002145,48
behavior_cloned_skill_chain,combined_stress,4,0.377604,0.366805,0.339193,0.277135,0.261495,0.122721,0.110387,0.173921,0.026546,0.006728,0.006518,0.006337,0.006725,0.002579,0.001807,0.002130,48
behavior_cloned_skill_chain,combined_stress,5,0.380787,0.366761,0.337623,0.275821,0.261504,0.122913,0.109762,0.173672,0.023628,0.007005,0.006936,0.006522,0.006089,0.002597,0.001464,0.002422,48
behavior_cloned_skill_chain,combined_stress,6,0.406539,0.367924,0.338488,0.277651,0.258855,0.123636,0.111428,0.173937,0.018407,0.006822,0.006569,0.006483,0.005908,0.002781,0.001518,0.002193,48
behavior_cloned_skill_chain,in_distribution,0,0.525174,0.316098,0.291351,0.325494,0.307305,0.112036,0.102464,0.160020,0.020241,0.006711,0.006168,0.006287,0.006458,0.002739,0.001526,0.001960,48
behavior_cloned_skill_chain,in_distribution,1,0.506655,0.315660,0.292378,0.327885,0.304847,0.111007,0.103391,0.159902,0.022622,0.006241,0.006770,0.005796,0.006224,0.002739,0.001340,0.002151,48
behavior_cloned_skill_chain,in_distribution,2,0.539063,0.315435,0.291287,0.328004,0.308433,0.111992,0.103408,0.160801,0.019964,0.006644,0.006436,0.005896,0.005874,0.002916,0.001491,0.002203,48
behavior_cloned_skill_chain,in_distribution,3,0.514468,0.314877,0.292318,0.326126,0.307658,0.111762,0.102495,0.159482,0.026698,0.007020,0.006576,0.006370,0.005862,0.002702,0.001464,0.002005,48
behavior_cloned_skill_chain,in_distribution,4,0.528935,0.315961,0.290861,0.325450,0.308115,0.111599,0.103056,0.160733,0.019768,0.006426,0.006406,0.006349,0.005597,0.002859,0.001542,0.002385,48
behavior_cloned_skill_chain,in_distribution,5,0.521701,0.316436,0.290408,0.325277,0.303835,0.111776,0.102589,0.160607,0.022225,0.006872,0.006306,0.005931,0.005917,0.002718,0.001609,0.002149,48
behavior_cloned_skill_chain,in_distribution,6,0.512731,0.317367,0.292614,0.323083,0.303673,0.111710,0.103710,0.160079,0.020899,0.006994,0.006072,0.006599,0.005924,0.002702,0.001434,0.002164,48
behavior_cloned_skill_chain,long_horizon_chain,0,0.420718,0.337123,0.311315,0.303595,0.287041,0.116075,0.106147,0.167370,0.023280,0.006670,0.006507,0.006267,0.006543,0.002676,0.001198,0.002037,48
behavior_cloned_skill_chain,long_horizon_chain,1,0.425058,0.337385,0.311280,0.305742,0.289277,0.116352,0.106267,0.166743,0.022821,0.006586,0.006255,0.005932,0.007049,0.002876,0.001324,0.001885,48
behavior_cloned_skill_chain,long_horizon_chain,2,0.421007,0.337151,0.311568,0.306541,0.287155,0.116461,0.106659,0.165065,0.019873,0.007075,0.006238,0.006727,0.006694,0.002759,0.001672,0.002099,48
behavior_cloned_skill_chain,long_horizon_chain,3,0.425347,0.336731,0.312089,0.307130,0.287887,0.116576,0.106230,0.166205,0.021454,0.006897,0.006296,0.006245,0.006331,0.002833,0.001407,0.001768,48
behavior_cloned_skill_chain,long_horizon_chain,4,0.437789,0.336649,0.311771,0.304797,0.286984,0.116585,0.106694,0.166774,0.019385,0.006615,0.006457,0.006246,0.005649,0.002883,0.001632,0.002107,48
behavior_cloned_skill_chain,long_horizon_chain,5,0.421007,0.337453,0.310476,0.305866,0.288071,0.117387,0.105459,0.166196,0.024932,0.006803,0.006143,0.006836,0.005884,0.002932,0.001205,0.002207,48
behavior_cloned_skill_chain,long_horizon_chain,6,0.445602,0.337092,0.311605,0.303939,0.288715,0.116860,0.107328,0.166824,0.022357,0.006563,0.006448,0.005409,0.006006,0.002553,0.001297,0.001910,48
behavior_cloned_skill_chain,new_skill_pair,0,0.469907,0.340842,0.315757,0.301593,0.280020,0.117601,0.106078,0.168148,0.023884,0.006792,0.006171,0.006708,0.006465,0.002815,0.001345,0.002131,48
