method,task,regime,split,seed,episodes,success_rate,seam_failure_rate,barrier_violation_rate,basin_alignment,descent_continuity,damage_rate,composition_cost,energy_model_error
greedy_module_sequence,peg_place_regrasp,nominal,in_distribution,0,72,0.625000,0.295110,0.267539,0.304112,0.323388,0.104261,0.062369,0.167813
greedy_module_sequence,peg_place_regrasp,nominal,in_distribution,1,72,0.569444,0.297599,0.271127,0.320916,0.329453,0.104359,0.074293,0.154400
greedy_module_sequence,peg_place_regrasp,nominal,in_distribution,2,72,0.583333,0.304357,0.276149,0.319794,0.295325,0.100985,0.074615,0.161741
greedy_module_sequence,peg_place_regrasp,nominal,in_distribution,3,72,0.638889,0.304096,0.276707,0.335109,0.295310,0.105720,0.071364,0.153880
greedy_module_sequence,peg_place_regrasp,nominal,in_distribution,4,72,0.611111,0.304229,0.275035,0.308244,0.315869,0.103181,0.072263,0.159577
greedy_module_sequence,peg_place_regrasp,nominal,in_distribution,5,72,0.666667,0.305337,0.262862,0.301322,0.301929,0.112294,0.061671,0.159643
greedy_module_sequence,peg_place_regrasp,nominal,in_distribution,6,72,0.666667,0.302795,0.279612,0.305398,0.302692,0.106030,0.074373,0.163632
greedy_module_sequence,peg_place_regrasp,nominal,new_skill_pair,0,72,0.527778,0.328487,0.294704,0.280050,0.292117,0.111879,0.071583,0.167641
greedy_module_sequence,peg_place_regrasp,nominal,new_skill_pair,1,72,0.416667,0.329337,0.312200,0.277447,0.276726,0.112708,0.078639,0.172438
greedy_module_sequence,peg_place_regrasp,nominal,new_skill_pair,2,72,0.541667,0.331431,0.298473,0.285539,0.252342,0.115108,0.076747,0.170719
greedy_module_sequence,peg_place_regrasp,nominal,new_skill_pair,3,72,0.500000,0.335398,0.301282,0.279651,0.261539,0.114517,0.068961,0.165433
greedy_module_sequence,peg_place_regrasp,nominal,new_skill_pair,4,72,0.472222,0.321229,0.297000,0.284853,0.274447,0.110020,0.067758,0.173159
greedy_module_sequence,peg_place_regrasp,nominal,new_skill_pair,5,72,0.597222,0.328071,0.294199,0.278645,0.277563,0.104753,0.065602,0.166892
greedy_module_sequence,peg_place_regrasp,nominal,new_skill_pair,6,72,0.500000,0.331307,0.294374,0.274136,0.286152,0.108802,0.073523,0.177809
greedy_module_sequence,peg_place_regrasp,nominal,shifted_objects,0,72,0.513889,0.344837,0.305380,0.291934,0.271964,0.107749,0.069432,0.170595
greedy_module_sequence,peg_place_regrasp,nominal,shifted_objects,1,72,0.486111,0.332422,0.304314,0.284363,0.284563,0.110258,0.076743,0.168194
greedy_module_sequence,peg_place_regrasp,nominal,shifted_objects,2,72,0.513889,0.339349,0.302139,0.291303,0.275414,0.112924,0.077460,0.166053
greedy_module_sequence,peg_place_regrasp,nominal,shifted_objects,3,72,0.555556,0.335566,0.303658,0.288342,0.275898,0.107474,0.071765,0.169270
greedy_module_sequence,peg_place_regrasp,nominal,shifted_objects,4,72,0.458333,0.332985,0.298746,0.279352,0.280666,0.115033,0.071343,0.169876
greedy_module_sequence,peg_place_regrasp,nominal,shifted_objects,5,72,0.347222,0.345297,0.307685,0.265480,0.273504,0.109543,0.079779,0.173901
greedy_module_sequence,peg_place_regrasp,nominal,shifted_objects,6,72,0.500000,0.335385,0.291483,0.274346,0.284352,0.115110,0.073229,0.166319
greedy_module_sequence,peg_place_regrasp,nominal,long_horizon_chain,0,72,0.555556,0.323840,0.291963,0.283138,0.283290,0.109960,0.078039,0.170721
greedy_module_sequence,peg_place_regrasp,nominal,long_horizon_chain,1,72,0.500000,0.319174,0.291667,0.300671,0.287818,0.107643,0.063172,0.169985
greedy_module_sequence,peg_place_regrasp,nominal,long_horizon_chain,2,72,0.500000,0.319606,0.292409,0.301492,0.297255,0.105444,0.073282,0.166183
greedy_module_sequence,peg_place_regrasp,nominal,long_horizon_chain,3,72,0.486111,0.325281,0.288635,0.302269,0.294755,0.116825,0.066678,0.165276
greedy_module_sequence,peg_place_regrasp,nominal,long_horizon_chain,4,72,0.611111,0.329718,0.297457,0.289534,0.279796,0.114199,0.078059,0.163731
greedy_module_sequence,peg_place_regrasp,nominal,long_horizon_chain,5,72,0.444444,0.326828,0.297016,0.278535,0.257893,0.112916,0.071156,0.168755
greedy_module_sequence,peg_place_regrasp,nominal,long_horizon_chain,6,72,0.513889,0.325260,0.290023,0.287720,0.262504,0.110265,0.073593,0.162881
greedy_module_sequence,peg_place_regrasp,nominal,combined_stress,0,72,0.472222,0.359839,0.318938,0.249608,0.260841,0.112781,0.079034,0.174834
greedy_module_sequence,peg_place_regrasp,nominal,combined_stress,1,72,0.458333,0.351830,0.329334,0.251516,0.255910,0.119669,0.078886,0.172218
greedy_module_sequence,peg_place_regrasp,nominal,combined_stress,2,72,0.458333,0.358674,0.322767,0.258463,0.248032,0.118042,0.070058,0.171968
greedy_module_sequence,peg_place_regrasp,nominal,combined_stress,3,72,0.486111,0.364246,0.319830,0.283114,0.241338,0.115462,0.073968,0.167974
greedy_module_sequence,peg_place_regrasp,nominal,combined_stress,4,72,0.500000,0.367608,0.328524,0.263854,0.261531,0.119400,0.071755,0.173078
greedy_module_sequence,peg_place_regrasp,nominal,combined_stress,5,72,0.430556,0.358331,0.330956,0.262824,0.248535,0.111047,0.075680,0.173316
greedy_module_sequence,peg_place_regrasp,nominal,combined_stress,6,72,0.430556,0.365554,0.321150,0.258967,0.256634,0.116522,0.078457,0.172459
greedy_module_sequence,peg_place_regrasp,narrow_basin,in_distribution,0,72,0.500000,0.337215,0.306857,0.280580,0.271677,0.119866,0.073276,0.166148
greedy_module_sequence,peg_place_regrasp,narrow_basin,in_distribution,1,72,0.527778,0.344872,0.314237,0.254328,0.267051,0.124042,0.074283,0.172611
greedy_module_sequence,peg_place_regrasp,narrow_basin,in_distribution,2,72,0.430556,0.334513,0.309539,0.267625,0.277594,0.120369,0.072016,0.175767
greedy_module_sequence,peg_place_regrasp,narrow_basin,in_distribution,3,72,0.555556,0.340796,0.314311,0.300316,0.264947,0.118027,0.075613,0.166299
greedy_module_sequence,peg_place_regrasp,narrow_basin,in_distribution,4,72,0.333333,0.338300,0.304900,0.296376,0.277812,0.119689,0.069839,0.169478
greedy_module_sequence,peg_place_regrasp,narrow_basin,in_distribution,5,72,0.569444,0.352419,0.313610,0.287072,0.280111,0.123677,0.069856,0.172612
greedy_module_sequence,peg_place_regrasp,narrow_basin,in_distribution,6,72,0.513889,0.348646,0.320145,0.292261,0.295344,0.117180,0.077209,0.171841
greedy_module_sequence,peg_place_regrasp,narrow_basin,new_skill_pair,0,72,0.458333,0.377559,0.343958,0.254096,0.258128,0.128189,0.077888,0.182677
greedy_module_sequence,peg_place_regrasp,narrow_basin,new_skill_pair,1,72,0.388889,0.382806,0.328704,0.251841,0.253475,0.131132,0.072473,0.173644
greedy_module_sequence,peg_place_regrasp,narrow_basin,new_skill_pair,2,72,0.555556,0.371227,0.343253,0.262493,0.247663,0.128804,0.080018,0.173417
greedy_module_sequence,peg_place_regrasp,narrow_basin,new_skill_pair,3,72,0.430556,0.370107,0.325811,0.251584,0.231387,0.125562,0.076011,0.182002
greedy_module_sequence,peg_place_regrasp,narrow_basin,new_skill_pair,4,72,0.430556,0.365521,0.336953,0.242464,0.242087,0.127716,0.082369,0.184775
greedy_module_sequence,peg_place_regrasp,narrow_basin,new_skill_pair,5,72,0.472222,0.376050,0.334032,0.250255,0.249912,0.128465,0.079542,0.169137
greedy_module_sequence,peg_place_regrasp,narrow_basin,new_skill_pair,6,72,0.625000,0.373902,0.331148,0.241885,0.245943,0.128101,0.076937,0.184750
greedy_module_sequence,peg_place_regrasp,narrow_basin,shifted_objects,0,72,0.388889,0.375479,0.330836,0.242173,0.227733,0.127666,0.077168,0.178140
greedy_module_sequence,peg_place_regrasp,narrow_basin,shifted_objects,1,72,0.458333,0.374116,0.334542,0.247057,0.249300,0.130261,0.080143,0.178369
greedy_module_sequence,peg_place_regrasp,narrow_basin,shifted_objects,2,72,0.527778,0.378998,0.335166,0.250723,0.243219,0.128366,0.078161,0.177431
greedy_module_sequence,peg_place_regrasp,narrow_basin,shifted_objects,3,72,0.402778,0.373310,0.338590,0.250636,0.251509,0.133085,0.080054,0.186677
greedy_module_sequence,peg_place_regrasp,narrow_basin,shifted_objects,4,72,0.500000,0.374698,0.339418,0.268169,0.248985,0.126755,0.076348,0.174051
greedy_module_sequence,peg_place_regrasp,narrow_basin,shifted_objects,5,72,0.472222,0.373562,0.339120,0.265119,0.250775,0.126162,0.075587,0.175766
greedy_module_sequence,peg_place_regrasp,narrow_basin,shifted_objects,6,72,0.472222,0.387489,0.346379,0.252890,0.249496,0.131692,0.080300,0.179382
greedy_module_sequence,peg_place_regrasp,narrow_basin,long_horizon_chain,0,72,0.458333,0.366947,0.328094,0.271019,0.258740,0.129595,0.075862,0.172413
greedy_module_sequence,peg_place_regrasp,narrow_basin,long_horizon_chain,1,72,0.375000,0.362281,0.341683,0.266825,0.257510,0.126123,0.071101,0.184223
greedy_module_sequence,peg_place_regrasp,narrow_basin,long_horizon_chain,2,72,0.472222,0.363640,0.335515,0.260075,0.254424,0.124342,0.073892,0.184249
greedy_module_sequence,peg_place_regrasp,narrow_basin,long_horizon_chain,3,72,0.416667,0.379332,0.337500,0.280053,0.240549,0.126913,0.073785,0.178815
greedy_module_sequence,peg_place_regrasp,narrow_basin,long_horizon_chain,4,72,0.402778,0.371559,0.336322,0.260795,0.271153,0.128346,0.080606,0.171073
greedy_module_sequence,peg_place_regrasp,narrow_basin,long_horizon_chain,5,72,0.333333,0.363653,0.331094,0.280057,0.236031,0.128145,0.071066,0.174065
greedy_module_sequence,peg_place_regrasp,narrow_basin,long_horizon_chain,6,72,0.388889,0.363676,0.335128,0.267329,0.233893,0.127408,0.082137,0.172504
greedy_module_sequence,peg_place_regrasp,narrow_basin,combined_stress,0,72,0.347222,0.390545,0.364981,0.224834,0.221990,0.134114,0.079539,0.182731
greedy_module_sequence,peg_place_regrasp,narrow_basin,combined_stress,1,72,0.416667,0.407523,0.376722,0.252363,0.227468,0.132133,0.076615,0.183379
greedy_module_sequence,peg_place_regrasp,narrow_basin,combined_stress,2,72,0.375000,0.399656,0.361976,0.220156,0.231283,0.137202,0.083612,0.182667
greedy_module_sequence,peg_place_regrasp,narrow_basin,combined_stress,3,72,0.333333,0.402146,0.357828,0.231497,0.219664,0.131076,0.084464,0.182978
greedy_module_sequence,peg_place_regrasp,narrow_basin,combined_stress,4,72,0.333333,0.399900,0.364037,0.223245,0.221209,0.131045,0.082066,0.186564
greedy_module_sequence,peg_place_regrasp,narrow_basin,combined_stress,5,72,0.277778,0.400064,0.355117,0.220070,0.225560,0.136070,0.075344,0.191058
greedy_module_sequence,peg_place_regrasp,narrow_basin,combined_stress,6,72,0.347222,0.402254,0.361178,0.221275,0.228524,0.133562,0.076762,0.184416
greedy_module_sequence,peg_place_regrasp,high_barrier,in_distribution,0,72,0.458333,0.350233,0.309296,0.287695,0.259655,0.128866,0.074218,0.163313
greedy_module_sequence,peg_place_regrasp,high_barrier,in_distribution,1,72,0.569444,0.352126,0.317477,0.264185,0.265055,0.124688,0.072127,0.172870
greedy_module_sequence,peg_place_regrasp,high_barrier,in_distribution,2,72,0.486111,0.353561,0.323575,0.292373,0.270909,0.121004,0.076500,0.172151
greedy_module_sequence,peg_place_regrasp,high_barrier,in_distribution,3,72,0.500000,0.350400,0.316519,0.274759,0.281382,0.128337,0.070674,0.174610
greedy_module_sequence,peg_place_regrasp,high_barrier,in_distribution,4,72,0.527778,0.355403,0.315695,0.292559,0.250240,0.123856,0.072225,0.165548
greedy_module_sequence,peg_place_regrasp,high_barrier,in_distribution,5,72,0.541667,0.358968,0.325265,0.262785,0.273889,0.123329,0.076163,0.177393
greedy_module_sequence,peg_place_regrasp,high_barrier,in_distribution,6,72,0.569444,0.353041,0.318764,0.277646,0.272216,0.125028,0.077256,0.171725
greedy_module_sequence,peg_place_regrasp,high_barrier,new_skill_pair,0,72,0.458333,0.374782,0.336671,0.243017,0.229010,0.133499,0.075128,0.180865
greedy_module_sequence,peg_place_regrasp,high_barrier,new_skill_pair,1,72,0.472222,0.376490,0.347421,0.243707,0.241056,0.130398,0.082803,0.181948
greedy_module_sequence,peg_place_regrasp,high_barrier,new_skill_pair,2,72,0.388889,0.378179,0.345461,0.255560,0.229875,0.132140,0.070093,0.179194
greedy_module_sequence,peg_place_regrasp,high_barrier,new_skill_pair,3,72,0.361111,0.370934,0.343003,0.239936,0.241002,0.128252,0.068961,0.179903
greedy_module_sequence,peg_place_regrasp,high_barrier,new_skill_pair,4,72,0.430556,0.373895,0.336027,0.259735,0.256581,0.133630,0.082411,0.177227
greedy_module_sequence,peg_place_regrasp,high_barrier,new_skill_pair,5,72,0.458333,0.384169,0.346248,0.261155,0.259457,0.135247,0.075711,0.175492
greedy_module_sequence,peg_place_regrasp,high_barrier,new_skill_pair,6,72,0.500000,0.382330,0.341220,0.269175,0.240869,0.130914,0.078713,0.175136
greedy_module_sequence,peg_place_regrasp,high_barrier,shifted_objects,0,72,0.319444,0.391495,0.349354,0.251731,0.256189,0.125369,0.073713,0.180902
greedy_module_sequence,peg_place_regrasp,high_barrier,shifted_objects,1,72,0.319444,0.386915,0.350481,0.251036,0.230767,0.128556,0.078817,0.184472
greedy_module_sequence,peg_place_regrasp,high_barrier,shifted_objects,2,72,0.388889,0.390551,0.346029,0.255290,0.240679,0.126005,0.072050,0.181341
greedy_module_sequence,peg_place_regrasp,high_barrier,shifted_objects,3,72,0.486111,0.382051,0.360273,0.250920,0.242913,0.132050,0.073522,0.180644
