method,task,regime,split,seed,episodes,success_rate,seam_failure_rate,barrier_violation_rate,basin_alignment,descent_continuity,damage_rate,composition_cost,energy_model_error
greedy_module_sequence,peg_place_regrasp,high_barrier,shifted_objects,4,72,0.402778,0.384409,0.351607,0.257336,0.235782,0.129711,0.071331,0.173302
greedy_module_sequence,peg_place_regrasp,high_barrier,shifted_objects,5,72,0.402778,0.390063,0.356287,0.239407,0.238673,0.133306,0.076475,0.176328
greedy_module_sequence,peg_place_regrasp,high_barrier,shifted_objects,6,72,0.361111,0.382617,0.345310,0.243700,0.235639,0.133755,0.078509,0.176761
greedy_module_sequence,peg_place_regrasp,high_barrier,long_horizon_chain,0,72,0.472222,0.378630,0.343032,0.243581,0.234938,0.130050,0.077200,0.178726
greedy_module_sequence,peg_place_regrasp,high_barrier,long_horizon_chain,1,72,0.430556,0.372169,0.334482,0.229758,0.224143,0.129154,0.072245,0.188055
greedy_module_sequence,peg_place_regrasp,high_barrier,long_horizon_chain,2,72,0.277778,0.379248,0.346992,0.258795,0.231486,0.129873,0.081148,0.182092
greedy_module_sequence,peg_place_regrasp,high_barrier,long_horizon_chain,3,72,0.375000,0.384230,0.341365,0.262942,0.240783,0.128022,0.075972,0.183344
greedy_module_sequence,peg_place_regrasp,high_barrier,long_horizon_chain,4,72,0.416667,0.380321,0.341943,0.251629,0.259833,0.128481,0.075101,0.178279
greedy_module_sequence,peg_place_regrasp,high_barrier,long_horizon_chain,5,72,0.458333,0.376925,0.331063,0.261726,0.233697,0.129643,0.074598,0.178614
greedy_module_sequence,peg_place_regrasp,high_barrier,long_horizon_chain,6,72,0.375000,0.381297,0.341096,0.245854,0.237155,0.130378,0.082550,0.178331
greedy_module_sequence,peg_place_regrasp,high_barrier,combined_stress,0,72,0.305556,0.410503,0.367568,0.218464,0.219195,0.138335,0.080637,0.200247
greedy_module_sequence,peg_place_regrasp,high_barrier,combined_stress,1,72,0.236111,0.404168,0.376695,0.202492,0.206717,0.140830,0.082174,0.185706
greedy_module_sequence,peg_place_regrasp,high_barrier,combined_stress,2,72,0.333333,0.407500,0.365774,0.238633,0.228698,0.143049,0.079885,0.180642
greedy_module_sequence,peg_place_regrasp,high_barrier,combined_stress,3,72,0.333333,0.407723,0.372124,0.214505,0.221353,0.137057,0.078698,0.193812
greedy_module_sequence,peg_place_regrasp,high_barrier,combined_stress,4,72,0.375000,0.407896,0.386698,0.228402,0.205801,0.132747,0.078282,0.189051
greedy_module_sequence,peg_place_regrasp,high_barrier,combined_stress,5,72,0.305556,0.414505,0.364956,0.227029,0.211225,0.138156,0.073445,0.186334
greedy_module_sequence,peg_place_regrasp,high_barrier,combined_stress,6,72,0.319444,0.408025,0.375914,0.221822,0.202887,0.139754,0.077726,0.199050
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,in_distribution,0,72,0.583333,0.353180,0.329009,0.278028,0.262093,0.130174,0.070446,0.173767
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,in_distribution,1,72,0.513889,0.362065,0.318561,0.276205,0.237842,0.128273,0.070574,0.167009
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,in_distribution,2,72,0.527778,0.350141,0.328563,0.287265,0.255126,0.123975,0.075965,0.172549
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,in_distribution,3,72,0.555556,0.351444,0.321227,0.277914,0.252606,0.126954,0.075841,0.172517
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,in_distribution,4,72,0.416667,0.360974,0.323609,0.270001,0.254439,0.125247,0.078278,0.178014
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,in_distribution,5,72,0.430556,0.358236,0.328807,0.274526,0.278241,0.129353,0.071681,0.175595
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,in_distribution,6,72,0.291667,0.348823,0.327877,0.262485,0.252933,0.121865,0.079851,0.178816
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,new_skill_pair,0,72,0.416667,0.388012,0.340666,0.243153,0.255960,0.135965,0.079573,0.179397
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,new_skill_pair,1,72,0.402778,0.395136,0.349443,0.244620,0.265150,0.129391,0.071600,0.186503
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,new_skill_pair,2,72,0.472222,0.380963,0.361813,0.241154,0.244868,0.133361,0.073341,0.179959
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,new_skill_pair,3,72,0.555556,0.390603,0.340935,0.234403,0.255962,0.137215,0.077657,0.179496
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,new_skill_pair,4,72,0.347222,0.378258,0.344482,0.249924,0.237353,0.131749,0.084116,0.181986
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,new_skill_pair,5,72,0.486111,0.382601,0.345377,0.238538,0.216586,0.130611,0.074561,0.179146
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,new_skill_pair,6,72,0.458333,0.395109,0.355881,0.243571,0.227886,0.129008,0.076630,0.190976
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,shifted_objects,0,72,0.388889,0.393574,0.354513,0.239083,0.216469,0.130756,0.076466,0.183897
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,shifted_objects,1,72,0.375000,0.378434,0.348598,0.241071,0.227185,0.139899,0.083239,0.178197
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,shifted_objects,2,72,0.333333,0.391773,0.347294,0.261532,0.235644,0.129883,0.079416,0.180616
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,shifted_objects,3,72,0.388889,0.381103,0.358824,0.242187,0.246704,0.131067,0.073442,0.178739
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,shifted_objects,4,72,0.416667,0.396345,0.354192,0.241603,0.217393,0.133036,0.079627,0.189947
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,shifted_objects,5,72,0.430556,0.391823,0.346950,0.253123,0.225836,0.135044,0.084568,0.180160
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,shifted_objects,6,72,0.291667,0.390145,0.353050,0.230879,0.232121,0.133602,0.075040,0.186092
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,long_horizon_chain,0,72,0.402778,0.375641,0.352351,0.256772,0.234852,0.136636,0.084209,0.179218
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,long_horizon_chain,1,72,0.388889,0.388327,0.338954,0.249602,0.237298,0.129856,0.082326,0.169646
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,long_horizon_chain,2,72,0.402778,0.381262,0.353398,0.269811,0.250876,0.136916,0.075259,0.180054
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,long_horizon_chain,3,72,0.444444,0.380572,0.341004,0.249251,0.224597,0.134115,0.075774,0.179708
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,long_horizon_chain,4,72,0.375000,0.377501,0.339731,0.261574,0.239525,0.133201,0.087660,0.170758
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,long_horizon_chain,5,72,0.361111,0.382753,0.355038,0.253710,0.222235,0.128840,0.080775,0.176114
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,long_horizon_chain,6,72,0.388889,0.372661,0.344523,0.252583,0.242204,0.132697,0.075207,0.180282
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,combined_stress,0,72,0.333333,0.412882,0.388377,0.236875,0.221093,0.137420,0.071462,0.187989
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,combined_stress,1,72,0.333333,0.417431,0.381531,0.224976,0.215840,0.142511,0.081821,0.182197
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,combined_stress,2,72,0.291667,0.409177,0.371000,0.237099,0.209499,0.144303,0.081170,0.184913
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,combined_stress,3,72,0.347222,0.412454,0.382104,0.226148,0.238254,0.138286,0.076356,0.188215
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,combined_stress,4,72,0.361111,0.417868,0.370025,0.238206,0.209403,0.142407,0.078462,0.179686
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,combined_stress,5,72,0.347222,0.410616,0.371230,0.224378,0.204482,0.140424,0.074722,0.181114
greedy_module_sequence,peg_place_regrasp,nonconvex_energy,combined_stress,6,72,0.375000,0.411720,0.382462,0.221782,0.216856,0.135854,0.084209,0.184874
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,in_distribution,0,72,0.416667,0.361474,0.324809,0.260100,0.271064,0.131680,0.081158,0.181263
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,in_distribution,1,72,0.319444,0.360078,0.331701,0.265540,0.249608,0.132502,0.074795,0.173203
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,in_distribution,2,72,0.430556,0.355404,0.326563,0.265335,0.277136,0.123772,0.071568,0.172764
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,in_distribution,3,72,0.500000,0.354861,0.321099,0.255535,0.256513,0.127059,0.072261,0.178349
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,in_distribution,4,72,0.444444,0.367838,0.328916,0.282511,0.261452,0.130002,0.073876,0.173671
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,in_distribution,5,72,0.402778,0.358678,0.339085,0.281196,0.258402,0.125288,0.081733,0.173819
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,in_distribution,6,72,0.388889,0.362468,0.330892,0.267314,0.237110,0.135142,0.084199,0.170248
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,new_skill_pair,0,72,0.347222,0.389197,0.363797,0.241354,0.242298,0.134383,0.077114,0.184235
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,new_skill_pair,1,72,0.361111,0.397108,0.356472,0.260312,0.224908,0.138910,0.084171,0.175212
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,new_skill_pair,2,72,0.361111,0.384986,0.356495,0.246089,0.231634,0.130651,0.079893,0.188736
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,new_skill_pair,3,72,0.333333,0.398755,0.359924,0.225266,0.236763,0.131857,0.074052,0.185167
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,new_skill_pair,4,72,0.472222,0.387721,0.370078,0.236610,0.230290,0.130751,0.077872,0.186754
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,new_skill_pair,5,72,0.402778,0.386093,0.361942,0.240937,0.228734,0.140428,0.076078,0.179867
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,new_skill_pair,6,72,0.430556,0.382086,0.357182,0.256064,0.236451,0.133603,0.074237,0.174616
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,shifted_objects,0,72,0.444444,0.405605,0.369238,0.261085,0.227057,0.130725,0.084376,0.180930
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,shifted_objects,1,72,0.291667,0.398141,0.346693,0.229107,0.241587,0.133362,0.080928,0.179153
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,shifted_objects,2,72,0.305556,0.388174,0.362109,0.240646,0.240456,0.142550,0.080315,0.182413
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,shifted_objects,3,72,0.486111,0.395194,0.365276,0.228142,0.231883,0.135908,0.077904,0.181961
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,shifted_objects,4,72,0.305556,0.388763,0.360289,0.255243,0.235577,0.139362,0.085054,0.182547
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,shifted_objects,5,72,0.375000,0.404428,0.362269,0.265308,0.224409,0.133929,0.077442,0.174650
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,shifted_objects,6,72,0.305556,0.396265,0.367058,0.233808,0.251798,0.136837,0.075755,0.183187
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,long_horizon_chain,0,72,0.458333,0.389897,0.361861,0.245326,0.241504,0.131158,0.074812,0.173073
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,long_horizon_chain,1,72,0.375000,0.392284,0.350101,0.259036,0.226230,0.131209,0.078184,0.178058
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,long_horizon_chain,2,72,0.291667,0.390585,0.354785,0.258506,0.232112,0.132206,0.081670,0.181227
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,long_horizon_chain,3,72,0.333333,0.380902,0.356946,0.248375,0.244858,0.133867,0.077969,0.180337
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,long_horizon_chain,4,72,0.430556,0.382397,0.343250,0.239781,0.250591,0.138568,0.078527,0.177813
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,long_horizon_chain,5,72,0.472222,0.389062,0.347350,0.248896,0.223963,0.134309,0.071219,0.177546
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,long_horizon_chain,6,72,0.250000,0.388420,0.360876,0.247915,0.234667,0.132714,0.086684,0.175158
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,combined_stress,0,72,0.277778,0.416965,0.383910,0.222134,0.225707,0.138882,0.081881,0.186844
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,combined_stress,1,72,0.319444,0.421739,0.388003,0.217599,0.219535,0.138381,0.088813,0.188369
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,combined_stress,2,72,0.333333,0.421820,0.371410,0.211188,0.208671,0.139929,0.075327,0.186876
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,combined_stress,3,72,0.361111,0.420266,0.385918,0.227204,0.204173,0.143154,0.084630,0.191820
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,combined_stress,4,72,0.333333,0.418659,0.388293,0.217829,0.184306,0.143991,0.076528,0.194742
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,combined_stress,5,72,0.347222,0.416538,0.387635,0.202621,0.204563,0.134882,0.074424,0.192347
greedy_module_sequence,peg_place_regrasp,contact_mode_transition,combined_stress,6,72,0.388889,0.419625,0.392085,0.228092,0.219517,0.140431,0.079602,0.187925
greedy_module_sequence,peg_place_regrasp,partial_observability,in_distribution,0,72,0.444444,0.350510,0.324615,0.280860,0.271870,0.131103,0.074025,0.171997
greedy_module_sequence,peg_place_regrasp,partial_observability,in_distribution,1,72,0.277778,0.347767,0.309307,0.283900,0.282771,0.122831,0.076816,0.173603
