method,mean_success,mean_seam_failure_rate,mean_barrier_violation_rate,mean_basin_alignment,mean_descent_continuity,mean_damage_rate,mean_composition_cost,mean_energy_model_error,mean_risk_calibration_error,mean_abstention_rate,mean_predicted_seam_risk,mean_realized_seam_breach,mean_composition_utility,ci95_success,ci95_seam_failure_rate,ci95_barrier_violation_rate,ci95_basin_alignment,ci95_descent_continuity,ci95_damage_rate,ci95_composition_cost,ci95_energy_model_error,ci95_risk_calibration_error,ci95_abstention_rate,ci95_predicted_seam_risk,ci95_realized_seam_breach,ci95_composition_utility,rows
oracle_basin_composer,0.909673,0.032307,0.052754,0.864108,0.843932,0.067258,0.151024,0.093916,0.044516,0.108529,0.041154,0.039116,1.139876,0.004846,0.000227,0.000259,0.000222,0.000254,0.000229,0.000075,0.000362,0.000103,0.000172,0.000383,0.000349,0.004933,13440
barrier_certified_energy_composer_v5,0.801711,0.068955,0.085080,0.756653,0.740896,0.070611,0.189218,0.112005,0.050926,0.104272,0.102290,0.095083,0.888270,0.006741,0.000249,0.000280,0.000247,0.000288,0.000230,0.000083,0.000370,0.000103,0.000172,0.000418,0.000383,0.006852,13440
proposed_energy_landscape_composer_v4_1,0.717113,0.118078,0.125949,0.676645,0.662807,0.076401,0.235056,0.126423,0.061475,0.097787,0.185520,0.170729,0.653100,0.007615,0.000278,0.000310,0.000280,0.000329,0.000230,0.000096,0.000381,0.000103,0.000172,0.000465,0.000426,0.007732,13440
stable_dmp_handoff,0.636979,0.166583,0.165954,0.546234,0.535392,0.079769,0.297540,0.148316,0.068053,0.095049,0.262929,0.242088,0.390598,0.008130,0.000307,0.000341,0.000316,0.000360,0.000230,0.000113,0.000389,0.000104,0.000174,0.000513,0.000469,0.008287,13440
tamp_feasibility_screen,0.638467,0.172877,0.171206,0.534409,0.513407,0.080273,0.334045,0.150522,0.068954,0.094474,0.273034,0.251416,0.361245,0.008123,0.000311,0.000344,0.000324,0.000374,0.000230,0.000125,0.000390,0.000103,0.000173,0.000517,0.000474,0.008271,13440
energy_compatibility_heuristic,0.620238,0.192925,0.189850,0.516239,0.503340,0.083085,0.305336,0.154385,0.074052,0.090266,0.309047,0.283885,0.303120,0.008206,0.000328,0.000359,0.000327,0.000379,0.000230,0.000114,0.000391,0.000103,0.000173,0.000543,0.000499,0.008346,13440
residual_rl_composer,0.574777,0.222513,0.214503,0.462009,0.449267,0.085479,0.289518,0.163895,0.078587,0.087895,0.357069,0.328043,0.175811,0.008359,0.000346,0.000379,0.000351,0.000404,0.000229,0.000121,0.000397,0.000103,0.000173,0.000574,0.000527,0.008520,13440
cem_trajectory_composer,0.553646,0.228684,0.219762,0.448164,0.438052,0.085966,0.355285,0.166321,0.079457,0.087358,0.367067,0.337187,0.118661,0.008405,0.000349,0.000384,0.000356,0.000410,0.000231,0.000134,0.000399,0.000104,0.000173,0.000579,0.000530,0.008594,13440
diffusion_skill_stitcher,0.490625,0.255729,0.242918,0.408317,0.400004,0.086944,0.231352,0.173737,0.081394,0.086884,0.408782,0.376005,0.017548,0.008452,0.000369,0.000402,0.000370,0.000427,0.000230,0.000105,0.000401,0.000104,0.000174,0.000611,0.000562,0.008678,13440
option_graph_planner,0.443304,0.276432,0.261204,0.372524,0.361906,0.087900,0.160769,0.180142,0.083234,0.085829,0.441498,0.406357,-0.070423,0.008399,0.000383,0.000418,0.000386,0.000445,0.000230,0.000087,0.000405,0.000104,0.000173,0.000633,0.000582,0.008628,13440
behavior_cloned_skill_chain,0.351860,0.328000,0.306998,0.281628,0.273814,0.089373,0.104541,0.196565,0.086283,0.084922,0.521295,0.480671,-0.291861,0.008074,0.000422,0.000455,0.000416,0.000478,0.000230,0.000077,0.000412,0.000105,0.000172,0.000692,0.000637,0.008346,13440
greedy_module_sequence,0.290551,0.370673,0.345164,0.219630,0.221452,0.090324,0.076516,0.208060,0.088295,0.084088,0.587029,0.541866,-0.454503,0.007676,0.000451,0.000482,0.000435,0.000502,0.000230,0.000071,0.000417,0.000105,0.000172,0.000738,0.000680,0.008011,13440
