method,mean_success,mean_seam_failure_rate,mean_barrier_violation_rate,mean_basin_alignment,mean_descent_continuity,mean_damage_rate,mean_composition_cost,mean_energy_model_error,mean_risk_calibration_error,mean_abstention_rate,mean_predicted_seam_risk,mean_realized_seam_breach,mean_composition_utility,ci95_success,ci95_seam_failure_rate,ci95_barrier_violation_rate,ci95_basin_alignment,ci95_descent_continuity,ci95_damage_rate,ci95_composition_cost,ci95_energy_model_error,ci95_risk_calibration_error,ci95_abstention_rate,ci95_predicted_seam_risk,ci95_realized_seam_breach,ci95_composition_utility,rows
oracle_basin_composer,0.909219,0.027201,0.047230,0.866181,0.848890,0.061850,0.149950,0.087176,0.042111,0.104099,0.034143,0.032537,1.161324,0.004064,0.000233,0.000261,0.000195,0.000235,0.000238,0.000067,0.000354,0.000106,0.000183,0.000355,0.000328,0.004174,19200
barrier_certified_energy_composer_v5,0.806979,0.062369,0.078864,0.760399,0.747045,0.065225,0.187508,0.104985,0.048498,0.099836,0.091541,0.085245,0.918406,0.005583,0.000280,0.000286,0.000234,0.000274,0.000238,0.000079,0.000364,0.000106,0.000183,0.000460,0.000421,0.005726,19200
proposed_energy_landscape_composer_v4_1,0.730677,0.110530,0.118835,0.682072,0.670323,0.070977,0.232669,0.119117,0.059052,0.093344,0.173335,0.159567,0.694332,0.006275,0.000315,0.000319,0.000284,0.000320,0.000238,0.000095,0.000375,0.000107,0.000183,0.000513,0.000471,0.006446,19200
stable_dmp_handoff,0.658958,0.158198,0.157981,0.553199,0.543772,0.074346,0.294405,0.140734,0.065595,0.090580,0.249400,0.229712,0.442722,0.006706,0.000347,0.000353,0.000334,0.000352,0.000238,0.000117,0.000386,0.000107,0.000184,0.000565,0.000519,0.006923,19200
tamp_feasibility_screen,0.658906,0.164327,0.163117,0.541593,0.522227,0.074851,0.330426,0.142851,0.066486,0.090021,0.259325,0.238747,0.412424,0.006706,0.000352,0.000357,0.000343,0.000369,0.000238,0.000130,0.000387,0.000107,0.000183,0.000571,0.000526,0.006924,19200
energy_compatibility_heuristic,0.640677,0.183985,0.181314,0.523610,0.512319,0.077676,0.302190,0.146685,0.071621,0.085838,0.294694,0.270647,0.354957,0.006787,0.000369,0.000374,0.000349,0.000374,0.000238,0.000117,0.000389,0.000106,0.000183,0.000598,0.000551,0.007001,19200
residual_rl_composer,0.600365,0.212978,0.205438,0.470222,0.459024,0.080074,0.286046,0.156023,0.076133,0.083473,0.341830,0.313980,0.234386,0.006929,0.000391,0.000395,0.000380,0.000401,0.000237,0.000126,0.000395,0.000107,0.000183,0.000632,0.000582,0.007186,19200
cem_trajectory_composer,0.578594,0.219059,0.210593,0.456669,0.447778,0.080561,0.351229,0.158457,0.077009,0.082942,0.351670,0.322999,0.176981,0.006985,0.000394,0.000399,0.000389,0.000406,0.000238,0.000142,0.000397,0.000107,0.000183,0.000638,0.000588,0.007265,19200
diffusion_skill_stitcher,0.521875,0.245560,0.233161,0.417396,0.410236,0.081543,0.228522,0.165659,0.078927,0.082444,0.392536,0.360995,0.083229,0.007066,0.000416,0.000421,0.000409,0.000423,0.000238,0.000107,0.000402,0.000107,0.000183,0.000672,0.000620,0.007379,19200
option_graph_planner,0.475990,0.265773,0.251048,0.381914,0.372622,0.082490,0.158850,0.172040,0.080779,0.081414,0.424577,0.390696,-0.002557,0.007065,0.000433,0.000438,0.000425,0.000444,0.000237,0.000084,0.000405,0.000107,0.000183,0.000698,0.000644,0.007390,19200
behavior_cloned_skill_chain,0.390729,0.316272,0.295655,0.292282,0.285405,0.083969,0.103268,0.188188,0.083813,0.080458,0.502573,0.463391,-0.215318,0.006902,0.000475,0.000480,0.000468,0.000480,0.000238,0.000070,0.000414,0.000108,0.000184,0.000765,0.000706,0.007304,19200
greedy_module_sequence,0.327760,0.358151,0.333100,0.230966,0.233619,0.084901,0.075733,0.199576,0.085829,0.079628,0.567129,0.523507,-0.378040,0.006640,0.000506,0.000510,0.000493,0.000505,0.000238,0.000062,0.000419,0.000108,0.000183,0.000813,0.000751,0.007095,19200
