budget,method,seed,coverage,breach_rate,gated_success,gated_utility,accepted_rows,rows
0.100000,barrier_certified_energy_composer_v5,0,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,barrier_certified_energy_composer_v5,1,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,barrier_certified_energy_composer_v5,2,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,barrier_certified_energy_composer_v5,3,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,barrier_certified_energy_composer_v5,4,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,barrier_certified_energy_composer_v5,5,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,barrier_certified_energy_composer_v5,6,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,barrier_certified_energy_composer_v5,7,0.005208,0.000000,1.000000,1.093309,2,384
0.100000,barrier_certified_energy_composer_v5,8,0.002604,1.000000,1.000000,1.083419,1,384
0.100000,barrier_certified_energy_composer_v5,9,0.002604,1.000000,1.000000,1.089207,1,384
0.100000,energy_compatibility_heuristic,0,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,energy_compatibility_heuristic,1,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,energy_compatibility_heuristic,2,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,energy_compatibility_heuristic,3,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,energy_compatibility_heuristic,4,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,energy_compatibility_heuristic,5,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,energy_compatibility_heuristic,6,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,energy_compatibility_heuristic,7,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,energy_compatibility_heuristic,8,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,energy_compatibility_heuristic,9,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,option_graph_planner,0,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,option_graph_planner,1,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,option_graph_planner,2,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,option_graph_planner,3,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,option_graph_planner,4,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,option_graph_planner,5,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,option_graph_planner,6,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,option_graph_planner,7,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,option_graph_planner,8,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,option_graph_planner,9,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,oracle_basin_composer,0,0.986979,0.000000,0.920844,1.088966,379,384
0.100000,oracle_basin_composer,1,0.973958,0.000000,0.898396,1.068360,374,384
0.100000,oracle_basin_composer,2,0.968750,0.002688,0.884409,1.053652,372,384
0.100000,oracle_basin_composer,3,0.986979,0.000000,0.912929,1.081819,379,384
0.100000,oracle_basin_composer,4,0.979167,0.000000,0.890957,1.060577,376,384
0.100000,oracle_basin_composer,5,0.973958,0.005348,0.890374,1.060398,374,384
0.100000,oracle_basin_composer,6,0.976562,0.000000,0.904000,1.072950,375,384
0.100000,oracle_basin_composer,7,0.981771,0.000000,0.880637,1.048674,377,384
0.100000,oracle_basin_composer,8,0.984375,0.000000,0.886243,1.054982,378,384
0.100000,oracle_basin_composer,9,0.976562,0.000000,0.912000,1.080625,375,384
0.100000,proposed_energy_landscape_composer_v4_1,0,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,proposed_energy_landscape_composer_v4_1,1,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,proposed_energy_landscape_composer_v4_1,2,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,proposed_energy_landscape_composer_v4_1,3,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,proposed_energy_landscape_composer_v4_1,4,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,proposed_energy_landscape_composer_v4_1,5,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,proposed_energy_landscape_composer_v4_1,6,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,proposed_energy_landscape_composer_v4_1,7,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,proposed_energy_landscape_composer_v4_1,8,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,proposed_energy_landscape_composer_v4_1,9,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,stable_dmp_handoff,0,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,stable_dmp_handoff,1,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,stable_dmp_handoff,2,0.000000,0.000000,0.000000,-1.000000,0,384
0.100000,stable_dmp_handoff,3,0.000000,0.000000,0.000000,-1.000000,0,384
