ablation,task,regime,seed,success_rate,interpretation
full_energy_landscape_composer,peg_place_regrasp,nominal,0,0.777778,all components
full_energy_landscape_composer,peg_place_regrasp,nominal,1,0.777778,all components
full_energy_landscape_composer,peg_place_regrasp,nominal,2,0.750000,all components
full_energy_landscape_composer,peg_place_regrasp,nominal,3,0.750000,all components
full_energy_landscape_composer,peg_place_regrasp,nominal,4,0.763889,all components
full_energy_landscape_composer,peg_place_regrasp,nominal,5,0.666667,all components
full_energy_landscape_composer,peg_place_regrasp,nominal,6,0.777778,all components
full_energy_landscape_composer,peg_place_regrasp,narrow_basin,0,0.736111,all components
full_energy_landscape_composer,peg_place_regrasp,narrow_basin,1,0.722222,all components
full_energy_landscape_composer,peg_place_regrasp,narrow_basin,2,0.805556,all components
full_energy_landscape_composer,peg_place_regrasp,narrow_basin,3,0.763889,all components
full_energy_landscape_composer,peg_place_regrasp,narrow_basin,4,0.680556,all components
full_energy_landscape_composer,peg_place_regrasp,narrow_basin,5,0.763889,all components
full_energy_landscape_composer,peg_place_regrasp,narrow_basin,6,0.722222,all components
full_energy_landscape_composer,peg_place_regrasp,high_barrier,0,0.638889,all components
full_energy_landscape_composer,peg_place_regrasp,high_barrier,1,0.694444,all components
full_energy_landscape_composer,peg_place_regrasp,high_barrier,2,0.819444,all components
full_energy_landscape_composer,peg_place_regrasp,high_barrier,3,0.819444,all components
full_energy_landscape_composer,peg_place_regrasp,high_barrier,4,0.750000,all components
full_energy_landscape_composer,peg_place_regrasp,high_barrier,5,0.777778,all components
full_energy_landscape_composer,peg_place_regrasp,high_barrier,6,0.736111,all components
full_energy_landscape_composer,peg_place_regrasp,nonconvex_energy,0,0.652778,all components
full_energy_landscape_composer,peg_place_regrasp,nonconvex_energy,1,0.805556,all components
full_energy_landscape_composer,peg_place_regrasp,nonconvex_energy,2,0.694444,all components
full_energy_landscape_composer,peg_place_regrasp,nonconvex_energy,3,0.611111,all components
full_energy_landscape_composer,peg_place_regrasp,nonconvex_energy,4,0.680556,all components
full_energy_landscape_composer,peg_place_regrasp,nonconvex_energy,5,0.736111,all components
full_energy_landscape_composer,peg_place_regrasp,nonconvex_energy,6,0.708333,all components
full_energy_landscape_composer,peg_place_regrasp,contact_mode_transition,0,0.680556,all components
full_energy_landscape_composer,peg_place_regrasp,contact_mode_transition,1,0.680556,all components
full_energy_landscape_composer,peg_place_regrasp,contact_mode_transition,2,0.750000,all components
full_energy_landscape_composer,peg_place_regrasp,contact_mode_transition,3,0.777778,all components
