stress_level,method,seed,mean_success,mean_seam_failure_rate,mean_barrier_violation_rate,mean_basin_alignment,mean_descent_continuity,mean_damage_rate,mean_composition_cost,mean_energy_model_error,mean_risk_calibration_error,mean_abstention_rate,mean_predicted_seam_risk,mean_realized_seam_breach,mean_composition_utility,ci95_success,ci95_seam_failure_rate,ci95_barrier_violation_rate,ci95_basin_alignment,ci95_descent_continuity,ci95_damage_rate,ci95_composition_cost,ci95_energy_model_error,ci95_risk_calibration_error,ci95_abstention_rate,ci95_predicted_seam_risk,ci95_realized_seam_breach,ci95_composition_utility,rows
0.000000,barrier_certified_energy_composer_v5,0,0.781250,0.068636,0.085311,0.757506,0.736775,0.071331,0.190734,0.110968,0.051536,0.105673,0.102263,0.094915,0.865811,0.041402,0.001810,0.001938,0.001625,0.001746,0.001608,0.000503,0.002546,0.000702,0.001162,0.003023,0.002752,0.041656,384
0.000000,barrier_certified_energy_composer_v5,1,0.809896,0.068857,0.084973,0.758071,0.737017,0.071160,0.190521,0.111286,0.051637,0.105344,0.102394,0.095293,0.894861,0.039298,0.001862,0.001920,0.001629,0.001865,0.001587,0.000493,0.002547,0.000721,0.001185,0.003062,0.002805,0.040167,384
0.000000,barrier_certified_energy_composer_v5,2,0.794271,0.069058,0.085512,0.757369,0.734976,0.071275,0.190499,0.111200,0.051289,0.105674,0.102776,0.095454,0.877893,0.040485,0.001840,0.001964,0.001704,0.001821,0.001591,0.000498,0.002573,0.000698,0.001188,0.003080,0.002824,0.041363,384
0.000000,barrier_certified_energy_composer_v5,3,0.789062,0.069328,0.085367,0.757786,0.736665,0.071330,0.190504,0.111021,0.051359,0.105275,0.103108,0.095684,0.873234,0.040859,0.001837,0.001904,0.001661,0.001859,0.001575,0.000469,0.002521,0.000738,0.001205,0.003048,0.002778,0.040750,384
0.000000,barrier_certified_energy_composer_v5,4,0.770833,0.068786,0.085238,0.757461,0.735870,0.071504,0.190934,0.111241,0.051674,0.105565,0.102134,0.095052,0.854649,0.042093,0.001848,0.001929,0.001696,0.001745,0.001580,0.000461,0.002513,0.000725,0.001175,0.003041,0.002801,0.043256,384
0.000000,barrier_certified_energy_composer_v5,5,0.768229,0.069033,0.085096,0.757578,0.736925,0.071341,0.190628,0.111163,0.051406,0.105252,0.102722,0.094975,0.852755,0.042260,0.001852,0.001903,0.001607,0.001727,0.001565,0.000479,0.002512,0.000686,0.001208,0.003069,0.002773,0.043807,384
0.000000,barrier_certified_energy_composer_v5,6,0.778646,0.069207,0.085509,0.757612,0.736550,0.071429,0.190969,0.111231,0.051576,0.105639,0.103005,0.095841,0.862222,0.041579,0.001875,0.001938,0.001591,0.001728,0.001593,0.000510,0.002528,0.000717,0.001203,0.003105,0.002850,0.042409,384
0.000000,barrier_certified_energy_composer_v5,7,0.809896,0.069356,0.085454,0.757498,0.736666,0.071461,0.191141,0.111459,0.051430,0.105337,0.103120,0.095555,0.893332,0.039298,0.001861,0.001960,0.001620,0.001779,0.001596,0.000462,0.002547,0.000692,0.001167,0.003069,0.002824,0.040617,384
0.000000,barrier_certified_energy_composer_v5,8,0.776042,0.069018,0.085514,0.758686,0.736451,0.071510,0.190379,0.111328,0.051603,0.105807,0.102580,0.095252,0.860053,0.041753,0.001843,0.001929,0.001686,0.001857,0.001595,0.000484,0.002531,0.000711,0.001194,0.003054,0.002786,0.042866,384
0.000000,barrier_certified_energy_composer_v5,9,0.776042,0.069483,0.085793,0.756429,0.737428,0.071417,0.191072,0.111235,0.051428,0.105467,0.103296,0.095792,0.859130,0.041753,0.001820,0.001945,0.001571,0.001735,0.001622,0.000495,0.002513,0.000696,0.001195,0.003072,0.002772,0.043585,384
0.000000,energy_compatibility_heuristic,0,0.606771,0.193267,0.190637,0.517036,0.497684,0.083435,0.308249,0.153540,0.074582,0.091193,0.309702,0.284697,0.286224,0.048921,0.002410,0.002531,0.002243,0.002340,0.001572,0.000655,0.002655,0.000714,0.001164,0.003959,0.003606,0.049924,384
0.000000,energy_compatibility_heuristic,1,0.596354,0.194094,0.190663,0.516831,0.498006,0.083727,0.308207,0.153750,0.074538,0.091480,0.310825,0.285717,0.274693,0.049137,0.002437,0.002492,0.002405,0.002413,0.001593,0.000649,0.002729,0.000699,0.001225,0.003973,0.003657,0.050600,384
0.000000,energy_compatibility_heuristic,2,0.609375,0.193405,0.190687,0.517098,0.497550,0.084050,0.308341,0.153485,0.074860,0.091409,0.310297,0.285055,0.287855,0.048863,0.002417,0.002484,0.002388,0.002392,0.001570,0.000705,0.002719,0.000720,0.001202,0.003920,0.003632,0.050105,384
0.000000,energy_compatibility_heuristic,3,0.591146,0.193409,0.190967,0.517410,0.498253,0.083770,0.308115,0.153518,0.074706,0.091421,0.309938,0.285036,0.270085,0.049237,0.002411,0.002516,0.002308,0.002379,0.001604,0.000671,0.002683,0.000697,0.001204,0.003943,0.003652,0.050098,384
