method,task,regime,split,mean_success,mean_seam_failure_rate,mean_barrier_violation_rate,mean_basin_alignment,mean_descent_continuity,mean_damage_rate,mean_composition_cost,mean_energy_model_error,mean_risk_calibration_error,mean_abstention_rate,mean_predicted_seam_risk,mean_realized_seam_breach,mean_composition_utility,ci95_success,ci95_seam_failure_rate,ci95_barrier_violation_rate,ci95_basin_alignment,ci95_descent_continuity,ci95_damage_rate,ci95_composition_cost,ci95_energy_model_error,ci95_risk_calibration_error,ci95_abstention_rate,ci95_predicted_seam_risk,ci95_realized_seam_breach,ci95_composition_utility,rows
barrier_certified_energy_composer_v5,cable_route_insert,dynamics_mismatch,combined_stress,0.775000,0.081490,0.099015,0.752957,0.719698,0.085847,0.193246,0.128993,0.056995,0.115076,0.123738,0.114993,0.802771,0.092084,0.001068,0.001093,0.002211,0.002183,0.000726,0.000668,0.000956,0.000679,0.000800,0.001574,0.001650,0.091923,80
barrier_certified_energy_composer_v5,cable_route_insert,dynamics_mismatch,in_distribution,0.775000,0.068695,0.086738,0.755893,0.740742,0.074094,0.186575,0.118132,0.051873,0.104791,0.103511,0.094918,0.853830,0.092084,0.001151,0.001159,0.002510,0.002061,0.000579,0.000853,0.001103,0.000797,0.000979,0.001593,0.001595,0.091905,80
barrier_certified_energy_composer_v5,cable_route_insert,dynamics_mismatch,long_horizon_chain,0.812500,0.074956,0.095410,0.755203,0.726476,0.080766,0.191583,0.122066,0.055171,0.111343,0.115044,0.106274,0.861876,0.086071,0.001253,0.001019,0.002304,0.001724,0.000655,0.000934,0.000946,0.000604,0.000884,0.001593,0.001675,0.086107,80
barrier_certified_energy_composer_v5,cable_route_insert,dynamics_mismatch,new_skill_pair,0.812500,0.074265,0.091229,0.754891,0.733446,0.077264,0.188842,0.122035,0.053438,0.108016,0.111160,0.103621,0.873486,0.086071,0.001052,0.000937,0.001971,0.001758,0.000649,0.000881,0.000902,0.000777,0.000751,0.001579,0.001463,0.086277,80
barrier_certified_energy_composer_v5,cable_route_insert,dynamics_mismatch,shifted_objects,0.800000,0.074555,0.094922,0.755817,0.732883,0.078734,0.189657,0.123524,0.053962,0.109147,0.114507,0.106412,0.854956,0.088207,0.000959,0.001217,0.002481,0.002304,0.000565,0.000849,0.000960,0.000600,0.000869,0.001354,0.001520,0.087957,80
barrier_certified_energy_composer_v5,cable_route_insert,high_barrier,combined_stress,0.800000,0.064818,0.091184,0.764335,0.738215,0.072858,0.192048,0.096050,0.051306,0.105223,0.101327,0.093418,0.890973,0.088207,0.001219,0.000951,0.002004,0.001892,0.000659,0.000842,0.000856,0.000653,0.000873,0.001826,0.001710,0.088456,80
barrier_certified_energy_composer_v5,cable_route_insert,high_barrier,in_distribution,0.862500,0.050422,0.075893,0.766607,0.759880,0.060651,0.184980,0.084744,0.045061,0.094955,0.076931,0.071338,1.009707,0.075940,0.001052,0.001207,0.002083,0.002009,0.000675,0.000967,0.000966,0.000745,0.000841,0.001395,0.001476,0.075403,80
barrier_certified_energy_composer_v5,cable_route_insert,high_barrier,long_horizon_chain,0.825000,0.057217,0.085111,0.764695,0.743021,0.066860,0.190606,0.088855,0.049147,0.102770,0.090258,0.082728,0.940334,0.083789,0.001023,0.001064,0.002288,0.001978,0.000782,0.000800,0.001002,0.000713,0.000958,0.001663,0.001474,0.083724,80
barrier_certified_energy_composer_v5,cable_route_insert,high_barrier,new_skill_pair,0.850000,0.055910,0.081454,0.766368,0.752454,0.064108,0.187233,0.088287,0.047161,0.098082,0.086250,0.078748,0.978378,0.078740,0.001045,0.001047,0.002213,0.002247,0.000653,0.000913,0.000927,0.000590,0.000920,0.001545,0.001495,0.079108,80
barrier_certified_energy_composer_v5,cable_route_insert,high_barrier,shifted_objects,0.787500,0.057935,0.084679,0.763988,0.752043,0.066298,0.187975,0.089998,0.048463,0.099878,0.090178,0.083616,0.906458,0.090208,0.001215,0.001077,0.001935,0.002021,0.000669,0.000950,0.000848,0.000611,0.000896,0.001508,0.001433,0.090133,80
barrier_certified_energy_composer_v5,cable_route_insert,narrow_basin,combined_stress,0.825000,0.058107,0.066785,0.762390,0.752799,0.057180,0.188683,0.089437,0.046370,0.097613,0.080343,0.074560,0.968915,0.083789,0.001077,0.001254,0.001909,0.002383,0.000704,0.000776,0.000873,0.000648,0.000814,0.001411,0.001586,0.083265,80
barrier_certified_energy_composer_v5,cable_route_insert,narrow_basin,in_distribution,0.800000,0.043336,0.053280,0.768581,0.772247,0.044888,0.181662,0.078452,0.040313,0.085978,0.056311,0.053382,0.999628,0.088207,0.001140,0.001204,0.001967,0.002347,0.000651,0.000862,0.000823,0.000687,0.001050,0.001827,0.001584,0.088285,80
barrier_certified_energy_composer_v5,cable_route_insert,narrow_basin,long_horizon_chain,0.750000,0.050299,0.061208,0.765533,0.755842,0.051606,0.187572,0.082583,0.044468,0.093583,0.068652,0.064264,0.917865,0.095487,0.000928,0.001082,0.002298,0.002058,0.000737,0.000886,0.000981,0.000776,0.000817,0.001320,0.001290,0.095374,80
barrier_certified_energy_composer_v5,cable_route_insert,narrow_basin,new_skill_pair,0.825000,0.048884,0.057329,0.766999,0.766921,0.048888,0.183352,0.080941,0.042463,0.090335,0.064953,0.060936,1.007035,0.083789,0.001018,0.001113,0.001970,0.002106,0.000794,0.000907,0.000897,0.000737,0.000815,0.001393,0.001421,0.083866,80
barrier_certified_energy_composer_v5,cable_route_insert,narrow_basin,shifted_objects,0.925000,0.051286,0.059410,0.766650,0.762863,0.050812,0.184819,0.082341,0.043397,0.092077,0.068096,0.063998,1.098246,0.058082,0.001078,0.000976,0.001802,0.002103,0.000565,0.000982,0.000905,0.000603,0.000910,0.001429,0.001505,0.058119,80
barrier_certified_energy_composer_v5,cable_route_insert,nominal,combined_stress,0.775000,0.035531,0.053423,0.773904,0.758302,0.045114,0.185138,0.072372,0.040729,0.086114,0.047453,0.044539,0.980463,0.092084,0.001013,0.001072,0.002330,0.002291,0.000576,0.000955,0.000819,0.000579,0.000875,0.001523,0.001243,0.091941,80
barrier_certified_energy_composer_v5,cable_route_insert,nominal,in_distribution,0.812500,0.022379,0.040414,0.782179,0.778850,0.033374,0.178581,0.060133,0.034220,0.074914,0.026815,0.025270,1.072899,0.086071,0.001128,0.001201,0.002044,0.001862,0.000661,0.000823,0.001045,0.000664,0.000807,0.001585,0.001717,0.086114,80
barrier_certified_energy_composer_v5,cable_route_insert,nominal,long_horizon_chain,0.850000,0.028139,0.049586,0.781747,0.762112,0.040484,0.183699,0.064193,0.038151,0.081915,0.038404,0.035668,1.079413,0.078740,0.001360,0.001074,0.002141,0.001996,0.000671,0.000898,0.000860,0.000704,0.000838,0.001625,0.001634,0.078968,80
barrier_certified_energy_composer_v5,cable_route_insert,nominal,new_skill_pair,0.825000,0.027094,0.045652,0.779200,0.776020,0.037668,0.180169,0.063887,0.036945,0.078880,0.034074,0.032622,1.066723,0.083789,0.000877,0.001174,0.001977,0.002098,0.000558,0.000860,0.000900,0.000704,0.000898,0.001535,0.001424,0.083506,80
barrier_certified_energy_composer_v5,cable_route_insert,nominal,shifted_objects,0.850000,0.029194,0.047112,0.780253,0.770363,0.039095,0.180711,0.065744,0.037551,0.079987,0.037582,0.035462,1.084478,0.078740,0.001173,0.001032,0.002267,0.002022,0.000626,0.000906,0.001119,0.000687,0.000736,0.001564,0.001678,0.078535,80
barrier_certified_energy_composer_v5,cable_route_insert,nonconvex_energy,combined_stress,0.775000,0.079130,0.085231,0.739683,0.737819,0.072699,0.191365,0.124985,0.054464,0.109725,0.113367,0.106309,0.835034,0.092084,0.000977,0.001087,0.002037,0.002098,0.000680,0.000832,0.000765,0.000566,0.000951,0.001562,0.001393,0.092375,80
barrier_certified_energy_composer_v5,cable_route_insert,nonconvex_energy,in_distribution,0.837500,0.064112,0.072299,0.745716,0.761157,0.059623,0.184155,0.113407,0.048162,0.097944,0.089059,0.084745,0.955305,0.081351,0.001083,0.001189,0.002029,0.001954,0.000662,0.000723,0.000884,0.000642,0.000787,0.001406,0.001467,0.081485,80
barrier_certified_energy_composer_v5,cable_route_insert,nonconvex_energy,long_horizon_chain,0.787500,0.071076,0.079803,0.743660,0.743569,0.067206,0.190298,0.116505,0.051868,0.106257,0.100818,0.094767,0.873530,0.090208,0.000941,0.001078,0.001923,0.001860,0.000661,0.000914,0.000914,0.000702,0.000830,0.001358,0.001274,0.090068,80
barrier_certified_energy_composer_v5,cable_route_insert,nonconvex_energy,new_skill_pair,0.825000,0.069335,0.076603,0.744278,0.754123,0.064767,0.186389,0.116820,0.050071,0.102274,0.097945,0.091668,0.923247,0.083789,0.001023,0.001057,0.002259,0.002082,0.000691,0.000726,0.000964,0.000660,0.000926,0.001638,0.001266,0.084162,80
barrier_certified_energy_composer_v5,cable_route_insert,nonconvex_energy,shifted_objects,0.812500,0.071983,0.078603,0.744451,0.752198,0.066139,0.187288,0.118023,0.050464,0.104046,0.101640,0.094677,0.903638,0.086071,0.001079,0.001041,0.002062,0.002445,0.000627,0.000910,0.000920,0.000683,0.000935,0.001489,0.001400,0.085870,80
barrier_certified_energy_composer_v5,cable_route_insert,partial_observability,combined_stress,0.762500,0.073969,0.084577,0.753122,0.733910,0.073294,0.191584,0.114660,0.053469,0.107577,0.107418,0.100557,0.835655,0.093841,0.001115,0.001046,0.001558,0.002180,0.000602,0.000925,0.000912,0.000697,0.000924,0.001604,0.001483,0.093470,80
barrier_certified_energy_composer_v5,cable_route_insert,partial_observability,in_distribution,0.950000,0.060039,0.072578,0.760651,0.755697,0.061323,0.184559,0.103689,0.046193,0.096255,0.084610,0.079537,1.078217,0.048061,0.001206,0.001105,0.002107,0.002249,0.000601,0.000825,0.000924,0.000654,0.000764,0.001651,0.001456,0.048112,80
barrier_certified_energy_composer_v5,cable_route_insert,partial_observability,long_horizon_chain,0.800000,0.064539,0.079040,0.757916,0.739432,0.067936,0.188963,0.108875,0.050633,0.104179,0.093664,0.087822,0.899692,0.088207,0.001255,0.001001,0.002575,0.002264,0.000629,0.000938,0.000974,0.000726,0.000851,0.001720,0.001670,0.087996,80
barrier_certified_energy_composer_v5,cable_route_insert,partial_observability,new_skill_pair,0.837500,0.064260,0.076468,0.758467,0.749352,0.065211,0.185960,0.107820,0.048916,0.100258,0.091673,0.086347,0.948096,0.081351,0.000860,0.001198,0.002006,0.002001,0.000662,0.000859,0.000994,0.000593,0.000948,0.001370,0.001303,0.081038,80
barrier_certified_energy_composer_v5,cable_route_insert,partial_observability,shifted_objects,0.800000,0.065924,0.077993,0.755101,0.744630,0.065846,0.186695,0.109787,0.049888,0.102208,0.094975,0.089076,0.902954,0.088207,0.000920,0.001082,0.002290,0.002236,0.000656,0.000829,0.000904,0.000586,0.000802,0.001353,0.001333,0.088179,80
barrier_certified_energy_composer_v5,door_open_navigation,combined_seam_stress,combined_stress,0.700000,0.098225,0.119235,0.735858,0.710590,0.098834,0.195056,0.157444,0.062572,0.125663,0.153917,0.141790,0.657197,0.101054,0.001221,0.001001,0.002174,0.002401,0.000714,0.000776,0.000905,0.000674,0.000914,0.001502,0.001731,0.100543,80
barrier_certified_energy_composer_v5,door_open_navigation,combined_seam_stress,in_distribution,0.837500,0.091735,0.108794,0.737976,0.732325,0.090290,0.189670,0.146078,0.057624,0.116193,0.139523,0.129634,0.835240,0.081351,0.001255,0.001108,0.001995,0.002119,0.000675,0.000935,0.000912,0.000597,0.000911,0.001497,0.001561,0.081740,80
barrier_certified_energy_composer_v5,door_open_navigation,combined_seam_stress,long_horizon_chain,0.725000,0.095894,0.115858,0.737451,0.712648,0.096566,0.195323,0.150849,0.061739,0.122983,0.149090,0.137952,0.694306,0.098464,0.001067,0.001062,0.002119,0.002002,0.000647,0.000842,0.000910,0.000582,0.000895,0.001734,0.001495,0.098599,80
barrier_certified_energy_composer_v5,door_open_navigation,combined_seam_stress,new_skill_pair,0.812500,0.095161,0.114516,0.738105,0.726333,0.093116,0.192150,0.151069,0.059429,0.119069,0.147864,0.136926,0.793639,0.086071,0.000899,0.001165,0.001992,0.002490,0.000599,0.000939,0.000901,0.000644,0.000868,0.001325,0.001348,0.085998,80
barrier_certified_energy_composer_v5,door_open_navigation,combined_seam_stress,shifted_objects,0.800000,0.095158,0.113442,0.738551,0.723577,0.094552,0.192402,0.151160,0.059984,0.120388,0.146507,0.135175,0.779314,0.088207,0.001061,0.001182,0.001950,0.002160,0.000673,0.000905,0.000869,0.000570,0.000804,0.001469,0.001509,0.088239,80
barrier_certified_energy_composer_v5,door_open_navigation,contact_mode_transition,combined_stress,0.925000,0.072686,0.089388,0.760343,0.735469,0.074334,0.192008,0.109979,0.052058,0.106936,0.108774,0.102083,0.999861,0.058082,0.001101,0.001088,0.002159,0.002036,0.000701,0.000965,0.000872,0.000689,0.000979,0.001614,0.001377,0.058212,80
barrier_certified_energy_composer_v5,door_open_navigation,contact_mode_transition,in_distribution,0.837500,0.058453,0.076014,0.764480,0.755079,0.062751,0.184567,0.098983,0.046133,0.095559,0.085593,0.078785,0.966225,0.081351,0.001201,0.000965,0.002179,0.002238,0.000629,0.000872,0.000946,0.000755,0.000839,0.001776,0.001601,0.081564,80
barrier_certified_energy_composer_v5,door_open_navigation,contact_mode_transition,long_horizon_chain,0.875000,0.064997,0.083698,0.761238,0.737632,0.069332,0.190840,0.104250,0.050284,0.103702,0.097318,0.089213,0.971575,0.072929,0.001156,0.001066,0.002068,0.002055,0.000658,0.000862,0.000846,0.000755,0.000837,0.001538,0.001489,0.072717,80
barrier_certified_energy_composer_v5,door_open_navigation,contact_mode_transition,new_skill_pair,0.812500,0.064291,0.080208,0.762972,0.748812,0.066520,0.186450,0.103119,0.048041,0.100851,0.093937,0.087851,0.922369,0.086071,0.001038,0.000960,0.002149,0.002610,0.000625,0.000870,0.001006,0.000668,0.000792,0.001562,0.001395,0.085787,80
barrier_certified_energy_composer_v5,door_open_navigation,contact_mode_transition,shifted_objects,0.762500,0.064638,0.082375,0.761618,0.744882,0.067359,0.187984,0.104484,0.049018,0.101254,0.095862,0.088874,0.866314,0.093841,0.001012,0.001231,0.002347,0.002362,0.000538,0.000805,0.000936,0.000637,0.000869,0.001569,0.001400,0.093660,80
barrier_certified_energy_composer_v5,door_open_navigation,dynamics_mismatch,combined_stress,0.725000,0.080006,0.098555,0.755121,0.720228,0.084575,0.192579,0.128317,0.055719,0.112601,0.122952,0.112667,0.758099,0.098464,0.001147,0.001238,0.002402,0.002261,0.000630,0.000908,0.000931,0.000657,0.000691,0.001669,0.001554,0.098329,80
barrier_certified_energy_composer_v5,door_open_navigation,dynamics_mismatch,in_distribution,0.800000,0.066470,0.085175,0.763744,0.742199,0.071792,0.185036,0.116648,0.049531,0.101256,0.099751,0.092325,0.890056,0.088207,0.001098,0.001217,0.002242,0.002324,0.000654,0.000777,0.000966,0.000707,0.000837,0.001499,0.001340,0.088088,80
barrier_certified_energy_composer_v5,door_open_navigation,dynamics_mismatch,long_horizon_chain,0.812500,0.071384,0.093278,0.759760,0.724417,0.078653,0.192235,0.121779,0.053025,0.109033,0.110283,0.102053,0.871100,0.086071,0.001058,0.001023,0.002165,0.002169,0.000680,0.000839,0.000939,0.000536,0.000849,0.001475,0.001484,0.086175,80
barrier_certified_energy_composer_v5,door_open_navigation,dynamics_mismatch,new_skill_pair,0.787500,0.070834,0.090556,0.759831,0.736044,0.076090,0.188451,0.122017,0.051779,0.105132,0.106977,0.100472,0.856864,0.090208,0.001138,0.001088,0.002179,0.002074,0.000526,0.000915,0.000892,0.000606,0.000954,0.001701,0.001639,0.090184,80
barrier_certified_energy_composer_v5,door_open_navigation,dynamics_mismatch,shifted_objects,0.800000,0.072866,0.091866,0.756418,0.733010,0.078171,0.188252,0.123006,0.051941,0.107432,0.109712,0.102768,0.861666,0.088207,0.000849,0.001265,0.002364,0.001832,0.000596,0.000922,0.000931,0.000606,0.000942,0.001459,0.001280,0.088132,80
barrier_certified_energy_composer_v5,door_open_navigation,high_barrier,combined_stress,0.837500,0.061780,0.089334,0.766249,0.739896,0.070836,0.191905,0.095052,0.049277,0.103318,0.096477,0.090187,0.937583,0.081351,0.001025,0.000978,0.002122,0.001866,0.000651,0.000733,0.001070,0.000646,0.000969,0.001345,0.001536,0.081381,80
barrier_certified_energy_composer_v5,door_open_navigation,high_barrier,in_distribution,0.862500,0.048718,0.075576,0.771601,0.761193,0.058494,0.184670,0.083046,0.044148,0.091889,0.074505,0.069285,1.017378,0.075940,0.001075,0.001068,0.002260,0.002215,0.000641,0.000774,0.000929,0.000739,0.000863,0.001554,0.001506,0.076046,80
barrier_certified_energy_composer_v5,door_open_navigation,high_barrier,long_horizon_chain,0.837500,0.054348,0.084206,0.768156,0.741036,0.065364,0.189962,0.088450,0.048249,0.100018,0.086879,0.080096,0.959345,0.081351,0.001086,0.001114,0.002087,0.001826,0.000538,0.000800,0.000890,0.000680,0.000860,0.001594,0.001472,0.081475,80
barrier_certified_energy_composer_v5,door_open_navigation,high_barrier,new_skill_pair,0.837500,0.053280,0.080634,0.769062,0.754718,0.063274,0.186209,0.087306,0.046027,0.096054,0.084019,0.077022,0.972781,0.081351,0.001040,0.001021,0.002301,0.002073,0.000662,0.000798,0.000939,0.000596,0.000880,0.001415,0.001413,0.080972,80
barrier_certified_energy_composer_v5,door_open_navigation,high_barrier,shifted_objects,0.775000,0.054945,0.082169,0.769652,0.748582,0.064058,0.187565,0.089748,0.046845,0.097696,0.084116,0.079694,0.903018,0.092084,0.001217,0.001061,0.002140,0.002220,0.000730,0.000795,0.001033,0.000722,0.000918,0.001389,0.001510,0.091865,80
barrier_certified_energy_composer_v5,door_open_navigation,narrow_basin,combined_stress,0.825000,0.055202,0.066395,0.766741,0.752074,0.055201,0.188031,0.088721,0.045266,0.094678,0.077121,0.071534,0.976430,0.083789,0.001234,0.001019,0.002273,0.002090,0.000598,0.000828,0.000863,0.000788,0.000910,0.001732,0.001726,0.083809,80
barrier_certified_energy_composer_v5,door_open_navigation,narrow_basin,in_distribution,0.725000,0.041871,0.052339,0.772924,0.773609,0.043063,0.180780,0.076230,0.039548,0.083275,0.053965,0.051038,0.932350,0.098464,0.000983,0.001111,0.001937,0.002412,0.000578,0.000852,0.000927,0.000632,0.000927,0.001539,0.001518,0.098681,80
barrier_certified_energy_composer_v5,door_open_navigation,narrow_basin,long_horizon_chain,0.775000,0.047830,0.059815,0.770896,0.754464,0.050791,0.187121,0.080822,0.043282,0.091879,0.065471,0.061360,0.950055,0.092084,0.001055,0.001054,0.002297,0.002108,0.000712,0.000956,0.000947,0.000654,0.000905,0.001697,0.001547,0.092126,80
barrier_certified_energy_composer_v5,door_open_navigation,narrow_basin,new_skill_pair,0.787500,0.047191,0.057036,0.770812,0.766225,0.047156,0.182411,0.080605,0.041478,0.086952,0.062266,0.058313,0.975440,0.090208,0.001144,0.001101,0.002157,0.001895,0.000604,0.000812,0.000969,0.000709,0.000730,0.001603,0.001567,0.090187,80
barrier_certified_energy_composer_v5,door_open_navigation,narrow_basin,shifted_objects,0.837500,0.048881,0.057744,0.768596,0.762898,0.048292,0.184532,0.082953,0.042431,0.088304,0.064895,0.061433,1.018256,0.081351,0.001085,0.001010,0.002339,0.002097,0.000631,0.000879,0.000878,0.000661,0.000992,0.001583,0.001519,0.081490,80
barrier_certified_energy_composer_v5,door_open_navigation,nominal,combined_stress,0.812500,0.032460,0.053231,0.781084,0.761184,0.044237,0.185037,0.070717,0.039201,0.084265,0.044375,0.042025,1.026549,0.086071,0.001112,0.001088,0.002161,0.002287,0.000678,0.000912,0.000964,0.000607,0.000889,0.001664,0.001607,0.085987,80
barrier_certified_energy_composer_v5,door_open_navigation,nominal,in_distribution,0.875000,0.019004,0.040263,0.786687,0.780458,0.031346,0.178673,0.060598,0.033111,0.072002,0.021872,0.021763,1.143109,0.072929,0.001059,0.001164,0.002477,0.001966,0.000672,0.000945,0.000879,0.000646,0.000805,0.001461,0.001444,0.072997,80
barrier_certified_energy_composer_v5,door_open_navigation,nominal,long_horizon_chain,0.837500,0.024236,0.047170,0.785988,0.762420,0.038792,0.183654,0.064112,0.037195,0.078819,0.032687,0.031607,1.076406,0.081351,0.001132,0.000992,0.002120,0.002478,0.000587,0.000989,0.000905,0.000684,0.000857,0.001379,0.001562,0.081306,80
barrier_certified_energy_composer_v5,door_open_navigation,nominal,new_skill_pair,0.787500,0.023993,0.044618,0.785385,0.775807,0.035496,0.180574,0.063400,0.035584,0.076396,0.029993,0.029037,1.037989,0.090208,0.001064,0.001003,0.002379,0.002500,0.000641,0.000856,0.000939,0.000665,0.000984,0.001402,0.001365,0.090342,80
barrier_certified_energy_composer_v5,door_open_navigation,nominal,shifted_objects,0.775000,0.025332,0.045763,0.783567,0.770917,0.036402,0.182484,0.065185,0.035913,0.077832,0.032688,0.031418,1.018795,0.092084,0.001197,0.001007,0.002226,0.002152,0.000629,0.000840,0.001044,0.000761,0.000714,0.001599,0.001484,0.092273,80
barrier_certified_energy_composer_v5,door_open_navigation,nonconvex_energy,combined_stress,0.800000,0.075009,0.084158,0.744250,0.740043,0.069972,0.191259,0.123289,0.052322,0.107728,0.108522,0.100760,0.871493,0.088207,0.001192,0.001062,0.002127,0.002103,0.000738,0.000824,0.000967,0.000663,0.000963,0.001672,0.001499,0.088183,80
barrier_certified_energy_composer_v5,door_open_navigation,nonconvex_energy,in_distribution,0.850000,0.061171,0.071962,0.750892,0.760250,0.058958,0.184387,0.111879,0.046747,0.094573,0.086440,0.080961,0.974590,0.078740,0.001161,0.001025,0.002187,0.002017,0.000590,0.000852,0.000943,0.000693,0.000902,0.001633,0.001540,0.078857,80
barrier_certified_energy_composer_v5,door_open_navigation,nonconvex_energy,long_horizon_chain,0.837500,0.066826,0.078980,0.749537,0.743194,0.065770,0.190552,0.116359,0.050301,0.103367,0.096340,0.090175,0.932293,0.081351,0.001107,0.001057,0.002068,0.002237,0.000608,0.000902,0.000838,0.000644,0.000839,0.001518,0.001589,0.081102,80
barrier_certified_energy_composer_v5,door_open_navigation,nonconvex_energy,new_skill_pair,0.800000,0.067829,0.077131,0.748134,0.753598,0.063492,0.186206,0.116308,0.049178,0.100024,0.096740,0.090827,0.902558,0.088207,0.001233,0.001194,0.002286,0.002390,0.000605,0.000981,0.000924,0.000774,0.000921,0.001662,0.001712,0.088432,80
barrier_certified_energy_composer_v5,door_open_navigation,nonconvex_energy,shifted_objects,0.825000,0.069455,0.078556,0.748973,0.751173,0.064519,0.188102,0.117311,0.049650,0.100117,0.098410,0.093448,0.922299,0.083789,0.001193,0.001120,0.002096,0.002081,0.000578,0.000776,0.001057,0.000630,0.000859,0.001895,0.001576,0.083777,80
barrier_certified_energy_composer_v5,door_open_navigation,partial_observability,combined_stress,0.825000,0.070151,0.083780,0.758545,0.735479,0.071900,0.189986,0.114478,0.051604,0.105465,0.103402,0.094904,0.907405,0.083789,0.001016,0.001158,0.002078,0.002084,0.000586,0.000842,0.000894,0.000625,0.000881,0.001558,0.001377,0.083681,80
barrier_certified_energy_composer_v5,door_open_navigation,partial_observability,in_distribution,0.800000,0.055765,0.071141,0.764299,0.756623,0.058719,0.183367,0.102742,0.045507,0.093894,0.080599,0.074218,0.938575,0.088207,0.001107,0.001183,0.002096,0.002017,0.000630,0.000866,0.000895,0.000571,0.000982,0.001685,0.001604,0.088107,80
barrier_certified_energy_composer_v5,door_open_navigation,partial_observability,long_horizon_chain,0.775000,0.062543,0.078453,0.762365,0.738646,0.066681,0.189200,0.106880,0.049131,0.101606,0.091459,0.085366,0.881399,0.092084,0.001035,0.001214,0.002254,0.002299,0.000710,0.000964,0.000752,0.000651,0.000913,0.001654,0.001527,0.091991,80
