method,task,regime,split,mean_success,mean_seam_failure_rate,mean_barrier_violation_rate,mean_basin_alignment,mean_descent_continuity,mean_damage_rate,mean_composition_cost,mean_energy_model_error,mean_risk_calibration_error,mean_abstention_rate,mean_predicted_seam_risk,mean_realized_seam_breach,mean_composition_utility,ci95_success,ci95_seam_failure_rate,ci95_barrier_violation_rate,ci95_basin_alignment,ci95_descent_continuity,ci95_damage_rate,ci95_composition_cost,ci95_energy_model_error,ci95_risk_calibration_error,ci95_abstention_rate,ci95_predicted_seam_risk,ci95_realized_seam_breach,ci95_composition_utility,rows
barrier_certified_energy_composer_v5,cable_route_insert,combined_seam_stress,combined_stress,0.750000,0.098309,0.119122,0.733527,0.709627,0.099637,0.194992,0.157739,0.063209,0.126348,0.154808,0.141778,0.704866,0.095487,0.001111,0.001051,0.002498,0.002194,0.000630,0.000749,0.001094,0.000627,0.000868,0.001436,0.001495,0.095732,80
barrier_certified_energy_composer_v5,cable_route_insert,combined_seam_stress,in_distribution,0.800000,0.095429,0.109148,0.734286,0.730748,0.090987,0.189888,0.147379,0.059239,0.119334,0.144696,0.134392,0.789940,0.088207,0.001112,0.001008,0.002103,0.002234,0.000548,0.000834,0.000958,0.000637,0.000921,0.001529,0.001199,0.088234,80
barrier_certified_energy_composer_v5,cable_route_insert,combined_seam_stress,long_horizon_chain,0.800000,0.097013,0.116399,0.736839,0.713611,0.097923,0.195772,0.150497,0.062185,0.124642,0.151991,0.139008,0.766150,0.088207,0.001063,0.001038,0.002285,0.002240,0.000657,0.000786,0.000991,0.000623,0.000916,0.001455,0.001445,0.088184,80
barrier_certified_energy_composer_v5,cable_route_insert,combined_seam_stress,new_skill_pair,0.762500,0.095923,0.113081,0.736253,0.722846,0.094225,0.191781,0.151290,0.060860,0.120983,0.147505,0.136571,0.740421,0.093841,0.001016,0.001036,0.002327,0.002129,0.000649,0.000962,0.000857,0.000651,0.001056,0.001356,0.001378,0.093575,80
barrier_certified_energy_composer_v5,cable_route_insert,combined_seam_stress,shifted_objects,0.850000,0.095165,0.114170,0.732585,0.719768,0.096077,0.191775,0.152710,0.061221,0.122595,0.147076,0.135875,0.822709,0.078740,0.001170,0.001201,0.001881,0.002294,0.000681,0.000760,0.000965,0.000618,0.000985,0.001760,0.001439,0.078717,80
barrier_certified_energy_composer_v5,cable_route_insert,contact_mode_transition,combined_stress,0.862500,0.075535,0.091122,0.755852,0.732477,0.075801,0.191887,0.110595,0.053664,0.110334,0.113493,0.104630,0.928127,0.075940,0.000960,0.001110,0.002246,0.002153,0.000718,0.000841,0.000915,0.000665,0.000900,0.001537,0.001524,0.076158,80
barrier_certified_energy_composer_v5,cable_route_insert,contact_mode_transition,in_distribution,0.737500,0.061819,0.078569,0.761859,0.755784,0.064085,0.184658,0.099964,0.048010,0.098556,0.090971,0.083842,0.857302,0.097026,0.001063,0.001106,0.001980,0.002732,0.000605,0.000798,0.000854,0.000716,0.000877,0.001537,0.001471,0.097067,80
barrier_certified_energy_composer_v5,cable_route_insert,contact_mode_transition,long_horizon_chain,0.862500,0.067819,0.085189,0.758502,0.739300,0.071015,0.191470,0.105242,0.051528,0.105938,0.101328,0.094783,0.951697,0.075940,0.001126,0.000986,0.002135,0.002368,0.000585,0.000882,0.000990,0.000623,0.000867,0.001530,0.001449,0.076160,80
barrier_certified_energy_composer_v5,cable_route_insert,contact_mode_transition,new_skill_pair,0.787500,0.067026,0.081999,0.757362,0.747815,0.067458,0.187716,0.105000,0.049969,0.102742,0.098457,0.092242,0.888073,0.090208,0.001186,0.001037,0.002362,0.002240,0.000712,0.001035,0.000835,0.000676,0.000882,0.001648,0.001530,0.089729,80
barrier_certified_energy_composer_v5,cable_route_insert,contact_mode_transition,shifted_objects,0.812500,0.068023,0.082577,0.758235,0.744321,0.069046,0.188316,0.105643,0.050551,0.103541,0.099765,0.092278,0.908527,0.086071,0.001153,0.001084,0.002638,0.002121,0.000540,0.000836,0.000987,0.000589,0.000807,0.001397,0.001367,0.086095,80
