stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6821,0.0113
0.0,conformal_risk_filter,0.7069,0.0161
0.0,proposed_branch_mechanism,0.7648,0.0134
0.0,oracle_branch_upper_bound,0.8119,0.0109
0.2,scalar_uncertainty_planner,0.6267,0.0144
0.2,conformal_risk_filter,0.6605,0.0148
0.2,proposed_branch_mechanism,0.7355,0.0141
0.2,oracle_branch_upper_bound,0.7924,0.0112
0.4,scalar_uncertainty_planner,0.5693,0.0113
0.4,conformal_risk_filter,0.6155,0.0170
0.4,proposed_branch_mechanism,0.7040,0.0151
0.4,oracle_branch_upper_bound,0.7740,0.0131
0.6,scalar_uncertainty_planner,0.5088,0.0098
0.6,conformal_risk_filter,0.5702,0.0144
0.6,proposed_branch_mechanism,0.6724,0.0159
0.6,oracle_branch_upper_bound,0.7567,0.0119
0.8,scalar_uncertainty_planner,0.4562,0.0085
0.8,conformal_risk_filter,0.5267,0.0156
0.8,proposed_branch_mechanism,0.6431,0.0148
0.8,oracle_branch_upper_bound,0.7360,0.0127
1.0,scalar_uncertainty_planner,0.4026,0.0097
1.0,conformal_risk_filter,0.4876,0.0185
1.0,proposed_branch_mechanism,0.6133,0.0159
1.0,oracle_branch_upper_bound,0.7136,0.0141
